league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",30-218,1994,24.0,33,24,10,14,9,13,31,41.9,18,22,2,20,14,47,17,3
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,21-162,2003,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19-159,2005,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",21-139,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27-288,1997,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31-308,1993,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
ENG-Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29-123,1996,7.8,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27-205,1997,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
ENG-Premier League,2425,Aston Villa,Matty Cash,POL,DF,27-290,1997,22.0,52,30,27,21,4,27,39,69.2,12,21,8,13,22,74,65,2
ENG-Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22-302,2002,33.7,41,22,15,14,12,23,46,50.0,23,26,7,19,5,46,20,2
ENG-Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29-145,1995,27.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
ENG-Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28-128,1997,21.4,21,15,11,8,2,10,17,58.8,7,14,10,4,9,30,69,2
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35-136,1990,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
ENG-Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31-170,1993,6.4,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,32-072,1993,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,28-017,1997,33.3,83,57,31,44,8,40,73,54.8,33,37,16,21,22,105,47,4
ENG-Premier League,2425,Bournemouth,Adam Smith,ENG,DF,34-025,1991,16.7,22,10,11,5,6,12,25,48.0,13,13,5,8,14,36,48,1
ENG-Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21-276,2003,8.4,27,14,11,8,8,19,42,45.2,23,17,4,13,10,37,15,0
ENG-Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,25-137,2000,34.6,54,34,17,24,13,16,42,38.1,26,66,9,57,11,65,39,2
ENG-Premier League,2425,Bournemouth,Ben Winterburn,ENG,"FW,MF",20-262,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
ENG-Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,23-102,2002,22.3,35,26,14,11,10,17,41,41.5,24,36,10,26,11,46,51,0
ENG-Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21-284,2003,1.0,3,2,2,1,0,3,5,60.0,2,2,1,1,1,4,1,0
ENG-Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27-320,1997,10.0,12,5,2,7,3,1,14,7.1,13,18,2,16,5,17,9,1
ENG-Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20-040,2005,26.8,36,26,19,16,1,18,29,62.1,11,39,29,10,51,87,197,4
ENG-Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28-014,1997,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0
ENG-Premier League,2425,Bournemouth,Evanilson,BRA,FW,25-230,1999,24.8,16,10,6,5,5,8,12,66.7,4,11,2,9,1,17,21,0
ENG-Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22-265,2002,33.5,51,35,30,20,1,33,48,68.8,15,33,20,13,39,90,179,2
ENG-Premier League,2425,Bournemouth,James Hill,ENG,DF,23-134,2002,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0
ENG-Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23-284,2001,5.5,10,5,4,6,0,5,12,41.7,7,3,0,3,6,16,18,0
