league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Newcastle Utd,Joelinton,BRA,"MF,FW",28-283,1996,26.6,57,35,23,23,11,25,44,56.8,19,37,7,30,23,80,47,2
ENG-Premier League,2425,Newcastle Utd,Kieran Trippier,ENG,DF,34-247,1990,14.2,37,20,18,13,6,21,35,60.0,14,11,3,8,12,49,49,0
ENG-Premier League,2425,Newcastle Utd,Lewis Hall,ENG,DF,20-258,2004,24.3,58,41,28,22,8,40,74,54.1,34,33,18,15,18,76,75,3
ENG-Premier League,2425,Newcastle Utd,Lewis Miley,ENG,MF,19-023,2006,3.5,14,11,5,7,2,7,14,50.0,7,5,1,4,2,16,5,2
ENG-Premier League,2425,Newcastle Utd,Lloyd Kelly,ENG,DF,26-230,1998,3.4,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,17,0
ENG-Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,36-129,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
ENG-Premier League,2425,Newcastle Utd,Matt Targett,ENG,DF,29-248,1995,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
ENG-Premier League,2425,Newcastle Utd,Miguel Almirón,PAR,FW,31-103,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0
ENG-Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,33-035,1992,27.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,31,5
ENG-Premier League,2425,Newcastle Utd,Sandro Tonali,ITA,MF,25-016,2000,28.2,49,31,21,23,5,24,48,50.0,24,33,11,22,34,83,33,2
ENG-Premier League,2425,Newcastle Utd,Sean Longstaff,ENG,MF,27-206,1997,8.9,27,16,10,9,8,18,27,66.7,9,17,5,12,7,34,8,0
ENG-Premier League,2425,Newcastle Utd,Sven Botman,NED,DF,25-132,2000,3.9,8,6,4,4,0,4,6,66.7,2,5,4,1,5,13,20,0
ENG-Premier League,2425,Newcastle Utd,Valentino Livramento,ENG,DF,22-193,2002,30.6,54,36,35,15,4,32,59,54.2,27,37,11,26,23,77,104,1
ENG-Premier League,2425,Newcastle Utd,William Osula,DEN,FW,21-293,2003,1.5,2,0,1,0,1,0,2,0.0,2,0,0,0,4,6,2,0
ENG-Premier League,2425,Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",23-027,2002,26.8,19,14,8,8,3,5,17,29.4,12,11,1,10,6,25,25,0
ENG-Premier League,2425,Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",24-198,2000,24.0,22,14,8,8,6,12,18,66.7,6,11,0,11,13,35,12,1
ENG-Premier League,2425,Nott'ham Forest,Chris Wood,NZL,FW,33-168,1991,31.9,6,5,2,2,2,3,11,27.3,8,12,7,5,5,11,28,1
ENG-Premier League,2425,Nott'ham Forest,Danilo,BRA,"MF,FW",24-025,2001,3.1,8,4,7,1,0,3,6,50.0,3,2,1,1,4,12,3,0
ENG-Premier League,2425,Nott'ham Forest,Elliot Anderson,ENG,MF,22-199,2002,29.3,91,55,54,28,9,48,110,43.6,62,45,9,36,31,122,73,4
ENG-Premier League,2425,Nott'ham Forest,Eric da Silva Moreira,GER,"MF,DF",19-021,2006,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0
ENG-Premier League,2425,Nott'ham Forest,Harry Toffolo,ENG,DF,29-278,1995,1.5,5,3,3,1,1,3,4,75.0,1,2,2,0,2,7,12,0
ENG-Premier League,2425,Nott'ham Forest,Ibrahim Sangaré,CIV,MF,27-173,1997,5.9,25,13,7,15,3,6,15,40.0,9,9,4,5,6,31,11,1
ENG-Premier League,2425,Nott'ham Forest,James Ward-Prowse,ENG,MF,30-204,1994,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0
ENG-Premier League,2425,Nott'ham Forest,Jota Silva,POR,"FW,MF",25-296,1999,9.4,27,14,12,13,2,6,26,23.1,20,9,1,8,12,39,17,0
ENG-Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,33-087,1992,37.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,25,1
ENG-Premier League,2425,Nott'ham Forest,Morato,BRA,DF,23-328,2001,10.1,22,14,18,3,1,13,21,61.9,8,14,5,9,10,32,78,2
ENG-Premier League,2425,Nott'ham Forest,Morgan Gibbs-White,ENG,MF,25-117,2000,30.1,42,21,14,22,6,16,32,50.0,16,18,5,13,23,65,28,1
ENG-Premier League,2425,Nott'ham Forest,Murillo,BRA,DF,22-324,2002,34.4,53,36,38,12,3,27,46,58.7,19,68,45,23,35,88,246,3
ENG-Premier League,2425,Nott'ham Forest,Neco Williams,WAL,DF,24-041,2001,27.8,87,55,63,18,6,51,82,62.2,31,42,10,32,29,116,135,2
ENG-Premier League,2425,Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26-330,1998,21.1,84,43,38,35,11,34,74,45.9,40,37,11,26,29,113,54,1
ENG-Premier League,2425,Nott'ham Forest,Nikola Milenković,SRB,DF,27-224,1997,36.0,48,28,34,12,2,26,33,78.8,7,40,24,16,27,75,203,1
ENG-Premier League,2425,Nott'ham Forest,Ola Aina,NGA,DF,28-228,1996,32.4,54,41,39,14,1,35,63,55.6,28,33,12,21,33,87,112,4
ENG-Premier League,2425,Nott'ham Forest,Ramón Sosa,PAR,"FW,MF",25-266,1999,3.3,5,3,3,0,2,1,5,20.0,4,9,0,9,4,9,5,0
ENG-Premier League,2425,Nott'ham Forest,Ryan Yates,ENG,MF,27-184,1997,21.0,42,21,24,14,4,17,37,45.9,20,36,9,27,26,68,61,1
ENG-Premier League,2425,Nott'ham Forest,Taiwo Awoniyi,NGA,FW,27-285,1997,4.6,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0
ENG-Premier League,2425,Nott'ham Forest,Willy Boly,CIV,DF,34-110,1991,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0
ENG-Premier League,2425,Nott'ham Forest,Álex Moreno,ESP,"DF,MF",31-350,1993,10.6,25,18,20,5,0,15,39,38.5,24,11,5,6,15,40,43,0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,27-010,1998,29.0,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,10,3
ENG-Premier League,2425,Southampton,Adam Armstrong,ENG,"FW,MF",28-103,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0
ENG-Premier League,2425,Southampton,Adam Lallana,ENG,MF,37-014,1988,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0
ENG-Premier League,2425,Southampton,Albert Grønbaek,DEN,"FW,MF",24-001,2001,1.6,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35-172,1989,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4
ENG-Premier League,2425,Southampton,Armel Bella Kotchap,GER,DF,23-164,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1
ENG-Premier League,2425,Southampton,Ben Brereton,CHI,FW,26-036,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0
ENG-Premier League,2425,Southampton,Cameron Archer,ENG,FW,23-307,2001,15.9,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,10,0
ENG-Premier League,2425,Southampton,Carlos Alcaraz,ARG,MF,22-175,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
ENG-Premier League,2425,Southampton,Charlie Taylor,ENG,DF,31-248,1993,3.0,7,5,4,3,0,5,6,83.3,1,5,3,2,3,10,22,1
ENG-Premier League,2425,Southampton,Flynn Downes,ENG,MF,26-124,1999,22.9,48,25,23,20,5,15,36,41.7,21,24,6,18,31,79,49,4
ENG-Premier League,2425,Southampton,Jack Stephens,ENG,DF,31-117,1994,15.4,34,20,25,9,0,17,30,56.7,13,20,13,7,13,47,53,2
ENG-Premier League,2425,Southampton,James Bree,ENG,DF,27-225,1997,11.9,19,14,8,10,1,10,25,40.0,15,10,3,7,9,28,29,0
ENG-Premier League,2425,Southampton,Jan Bednarek,POL,DF,29-042,1996,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5
ENG-Premier League,2425,Southampton,Jay Robinson,ENG,"FW,MF",18-070,2007,0.7,3,1,2,0,1,0,0,,0,0,0,0,0,3,1,0
ENG-Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,DF,18-176,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
ENG-Premier League,2425,Southampton,Joe Aribo,NGA,"MF,DF",28-307,1996,22.4,47,33,17,24,6,17,35,48.6,18,28,11,17,20,67,32,3
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,30-098,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3
ENG-Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",23-098,2002,14.7,19,16,6,5,8,9,14,64.3,5,13,3,10,6,25,9,0
ENG-Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,28-041,1997,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1
ENG-Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,21-059,2004,17.4,49,24,15,30,4,18,35,51.4,17,27,10,17,14,63,21,1
ENG-Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20-318,2004,31.3,88,47,45,28,15,33,67,49.3,34,41,7,34,26,114,35,7
ENG-Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28-239,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0
ENG-Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22-358,2002,7.6,11,7,7,3,1,6,9,66.7,3,8,5,3,5,16,32,2
ENG-Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30-361,1994,11.4,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1
ENG-Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,22-057,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ENG-Premier League,2425,Southampton,Ross Stewart,SCO,FW,28-317,1996,3.6,4,3,1,0,3,2,6,33.3,4,3,0,3,1,5,6,0
ENG-Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",31-089,1994,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0
ENG-Premier League,2425,Southampton,Ryan Manning,IRL,"DF,MF",28-344,1996,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,47,0
ENG-Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18-310,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",22-116,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0
ENG-Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,23-114,2002,31.4,28,20,13,12,3,19,35,54.3,16,65,43,22,30,58,141,6
ENG-Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",19-073,2006,20.8,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,16,1
ENG-Premier League,2425,Southampton,Welington,BRA,"DF,MF",24-094,2001,4.4,20,8,14,5,1,11,17,64.7,6,4,1,3,7,27,30,0
ENG-Premier League,2425,Southampton,William Smallbone,IRL,MF,25-092,2000,7.5,19,12,8,9,2,7,21,33.3,14,8,0,8,2,21,13,2
ENG-Premier League,2425,Southampton,Yukinari Sugawara,JPN,"DF,MF",24-330,2000,16.3,29,16,14,14,1,18,30,60.0,12,17,7,10,10,39,46,3
ENG-Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,20-034,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,22-072,2003,6.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,9,1
ENG-Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",19-073,2006,18.5,15,8,4,7,4,7,17,41.2,10,21,10,11,18,33,45,2
ENG-Premier League,2425,Tottenham,Ben Davies,WAL,DF,32-030,1993,14.5,17,11,8,8,1,9,17,52.9,8,28,19,9,12,29,77,1
ENG-Premier League,2425,Tottenham,Brandon Austin,ENG,GK,26-136,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,24-001,2001,23.2,39,26,9,20,10,16,31,51.6,15,25,3,22,4,43,11,0
ENG-Premier League,2425,Tottenham,Cristian Romero,ARG,DF,27-027,1998,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2
ENG-Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",21-061,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",25-029,2000,26.5,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1
ENG-Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22-177,2002,20.4,74,47,41,26,7,33,47,70.2,14,40,6,34,21,95,35,1
ENG-Premier League,2425,Tottenham,Djed Spence,ENG,DF,24-288,2000,19.8,47,34,25,15,7,23,30,76.7,7,28,9,19,21,68,74,2
ENG-Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27-252,1997,23.7,18,11,1,12,5,4,14,28.6,10,18,7,11,0,18,22,0
ENG-Premier League,2425,Tottenham,Fraser Forster,ENG,GK,37-068,1988,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3
ENG-Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28-229,1996,23.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6
ENG-Premier League,2425,Tottenham,James Maddison,ENG,MF,28-182,1996,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1
ENG-Premier League,2425,Tottenham,Kevin Danso,AUT,DF,26-247,1998,8.4,7,5,4,3,0,6,11,54.5,5,12,12,0,5,12,55,1
ENG-Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,19-111,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3
ENG-Premier League,2425,Tottenham,Mathys Tel,FRA,FW,20-027,2005,9.2,13,5,2,6,5,2,9,22.2,7,8,1,7,2,15,5,2
ENG-Premier League,2425,Tottenham,Micky van de Ven,NED,DF,24-035,2001,10.6,10,6,5,4,1,8,14,57.1,6,9,6,3,10,20,36,1
ENG-Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17-286,2007,4.1,2,1,2,0,0,0,4,0.0,4,2,0,2,1,3,5,0
ENG-Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22-252,2002,20.8,48,36,19,23,6,12,24,50.0,12,25,10,15,29,77,25,1
ENG-Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25-253,1999,28.0,63,46,31,22,10,42,73,57.5,31,44,17,27,34,97,82,1
ENG-Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,23-110,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4
ENG-Premier League,2425,Tottenham,Richarlison,BRA,FW,28-014,1997,5.3,4,3,0,3,1,0,3,0.0,3,1,1,0,0,4,8,0
ENG-Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27-333,1997,17.6,39,21,18,17,4,19,39,48.7,20,25,8,17,36,75,35,1
ENG-Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,28-159,1996,2.2,4,3,1,3,0,2,5,40.0,3,7,0,7,4,8,8,0
ENG-Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32-320,1992,23.4,17,9,3,8,6,5,27,18.5,22,11,0,11,5,22,17,1
ENG-Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",29-079,1996,5.7,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0
ENG-Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",20-034,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",20-177,2004,8.9,13,4,5,3,5,8,14,57.1,6,5,0,5,4,17,5,1
ENG-Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28-267,1996,15.4,48,30,19,25,4,19,34,55.9,15,11,6,5,18,66,40,4
ENG-Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35-160,1989,9.1,11,7,5,5,1,9,11,81.8,2,9,4,5,8,19,37,0
ENG-Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27-179,1997,34.0,68,48,32,31,5,23,31,74.2,8,36,11,25,64,132,123,0
ENG-Premier League,2425,West Ham,Alphonse Areola,FRA,GK,32-086,1993,25.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,3
ENG-Premier League,2425,West Ham,Andy Irving,SCO,MF,25-011,2000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0
ENG-Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",28-142,1997,15.6,16,11,9,6,1,7,23,30.4,16,19,6,13,8,24,21,2
ENG-Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23-206,2001,8.7,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0
ENG-Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32-305,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0
ENG-Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27-212,1997,18.8,45,24,25,12,8,15,33,45.5,18,22,8,14,17,62,41,1
ENG-Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30-294,1994,23.5,60,31,37,18,5,27,48,56.3,21,32,8,24,21,81,59,0
ENG-Premier League,2425,West Ham,Evan Ferguson,IRL,FW,20-217,2004,1.7,3,1,0,1,2,0,0,,0,2,1,1,1,4,1,0
ENG-Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,31-042,1994,12.6,34,17,21,13,0,16,32,50.0,16,23,9,14,13,47,35,1
ENG-Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30-204,1994,10.7,19,14,8,7,4,7,16,43.8,9,6,3,3,7,26,15,0
ENG-Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28-155,1996,32.0,39,26,13,11,15,17,38,44.7,21,21,3,18,16,55,24,0
ENG-Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,25-145,1999,19.3,43,26,28,14,1,25,34,73.5,9,24,12,12,24,67,79,3
ENG-Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20-208,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27-164,1997,21.7,33,22,22,10,1,15,26,57.7,11,24,17,7,39,72,118,1
ENG-Premier League,2425,West Ham,Lewis Orford,ENG,MF,19-095,2006,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ENG-Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",27-270,1997,26.3,66,37,25,30,11,27,54,50.0,27,29,4,25,18,84,37,6
ENG-Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",19-104,2006,1.7,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,2,0
ENG-Premier League,2425,West Ham,Max Kilman,ENG,DF,28-001,1997,36.2,38,24,16,19,3,23,27,85.2,4,57,39,18,38,76,207,5
ENG-Premier League,2425,West Ham,Michail Antonio,JAM,FW,35-057,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0
ENG-Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",24-295,2000,28.6,37,22,8,18,11,10,27,37.0,17,24,1,23,4,41,8,2
ENG-Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,32-104,1993,8.0,4,3,0,1,3,3,4,75.0,1,1,0,1,1,5,13,0
ENG-Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19-163,2005,6.6,17,11,13,3,1,13,21,61.9,8,14,2,12,10,27,24,0
ENG-Premier League,2425,West Ham,Tomáš Souček,CZE,MF,30-086,1995,27.5,45,21,20,22,3,25,42,59.5,17,38,20,18,19,64,82,1
ENG-Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32-275,1992,11.6,22,15,13,7,2,10,22,45.5,12,13,11,2,8,30,38,1
ENG-Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,40-036,1985,11.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
ENG-Premier League,2425,Wolves,Alfie Pond,ENG,DF,21-084,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,André,BRA,MF,23-312,2001,26.5,89,54,40,41,8,36,62,58.1,26,42,8,34,37,126,30,1
ENG-Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,23-277,2001,0.0,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0
ENG-Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",21-066,2004,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1
ENG-Premier League,2425,Wolves,Chiquinho,POR,MF,25-108,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Craig Dawson,ENG,DF,35-018,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31-315,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29-215,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27-341,1997,14.7,28,18,19,9,0,12,19,63.2,7,19,13,6,11,39,85,0
ENG-Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",28-176,1996,10.3,15,5,2,5,8,4,16,25.0,12,11,0,11,5,20,4,0
ENG-Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",29-118,1996,7.3,6,4,2,1,3,2,6,33.3,4,9,0,9,2,8,11,0
ENG-Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-331,1998,18.6,39,24,17,19,3,14,20,70.0,6,19,3,16,10,49,18,1
ENG-Premier League,2425,Wolves,José Sá,POR,GK,32-127,1993,28.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,15,1
ENG-Premier League,2425,Wolves,João Gomes,BRA,MF,24-101,2001,32.0,108,64,53,50,5,44,105,41.9,61,42,4,38,25,133,32,0
ENG-Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,25-107,2000,28.5,10,6,2,3,5,4,27,14.8,23,19,4,15,6,16,28,0
ENG-Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31-265,1993,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3
ENG-Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28-336,1996,11.0,22,10,6,10,6,12,21,57.1,9,13,1,12,6,28,17,0
ENG-Premier League,2425,Wolves,Mateus Mane,,MF,,,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-362,1999,27.9,36,21,17,15,4,12,37,32.4,25,21,1,20,17,53,23,0
ENG-Premier League,2425,Wolves,Matt Doherty,IRL,DF,33-128,1992,22.5,37,20,25,12,0,16,24,66.7,8,27,15,12,22,59,95,3
ENG-Premier League,2425,Wolves,Nasser Djiga,BFA,DF,22-190,2002,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,1
ENG-Premier League,2425,Wolves,Nélson Semedo,POR,DF,31-189,1993,31.1,60,34,31,21,8,32,55,58.2,23,31,10,21,23,83,101,3
ENG-Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",33-013,1992,9.0,16,8,4,8,4,10,16,62.5,6,10,0,10,4,20,7,1
ENG-Premier League,2425,Wolves,Pedro Lima,BRA,DF,18-327,2006,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0
ENG-Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-352,2001,33.8,86,55,51,27,8,41,68,60.3,27,42,6,36,25,111,72,1
ENG-Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21-321,2003,8.7,23,15,14,9,0,12,21,57.1,9,8,1,7,5,28,20,1
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,32-060,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0
ENG-Premier League,2425,Wolves,Santiago Bueno,URU,DF,26-196,1998,18.7,40,21,21,18,1,17,22,77.3,5,35,20,15,15,55,70,0
ENG-Premier League,2425,Wolves,Tommy Doyle,ENG,MF,23-219,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1
ENG-Premier League,2425,Wolves,Toti Gomes,POR,DF,26-128,1999,28.0,60,42,42,14,4,36,45,80.0,9,29,17,12,24,84,149,5
ENG-Premier League,2425,Wolves,Yerson Mosquera,COL,DF,24-022,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0
ESP-La Liga,2425,Alavés,Abdel Abqar,MAR,DF,26-075,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1
ESP-La Liga,2425,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26-286,1998,4.3,3,2,3,0,0,0,6,0.0,6,4,0,4,0,3,6,0
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,24-163,2000,1.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1
ESP-La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,33-162,1991,5.7,17,9,7,10,0,8,10,80.0,2,2,1,1,9,26,18,1
ESP-La Liga,2425,Alavés,Ander Guevara,ESP,MF,27-321,1997,21.6,49,30,19,29,1,20,48,41.7,28,21,5,16,14,63,43,1
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24-305,2000,29.3,65,40,22,37,6,32,81,39.5,49,28,6,22,40,105,47,1
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,28-286,1996,30.2,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,19,0
ESP-La Liga,2425,Alavés,Asier Villalibre,ESP,FW,27-236,1997,3.7,2,2,0,1,1,1,2,50.0,1,1,0,1,1,3,7,0
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,"MF,FW",27-139,1998,11.1,18,11,6,6,6,7,17,41.2,10,11,0,11,2,20,4,0
ESP-La Liga,2425,Alavés,Carlos Benavídez,URU,MF,27-055,1998,4.5,13,10,6,5,2,5,9,55.6,4,4,2,2,8,21,12,1
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"FW,MF",23-032,2002,14.7,41,20,16,16,9,13,49,26.5,36,30,1,29,5,46,18,0
