league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001.0,12.1,0,3,1,33.3,0.25,0.08,0.0,0.0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003.0,10.3,0,4,0,0.0,0.39,0.0,0.0,0.0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
La Liga,2425,Celta Vigo,Fer López,0,"FW,MF",nan,0.0,7.4,2,19,4,21.1,2.58,0.54,0.11,0.5,15.4,0,0,0,2.7,2.7,0.14,-0.7,-0.7
La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,26,1999.0,25.9,2,23,4,17.4,0.89,0.15,0.09,0.5,23.1,0,0,0,1.0,1.0,0.04,1.0,1.0
La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,21,2003.0,13.9,0,4,0,0.0,0.29,0.0,0.0,0.0,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2
La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003.0,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.1,1.5,1.5
La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",37,1987.0,18.5,9,43,17,39.5,2.33,0.92,0.09,0.24,22.2,3,5,6,8.5,3.8,0.09,0.5,0.2
La Liga,2425,Celta Vigo,Iker Losada,ESP,"FW,MF",23,2001.0,4.0,1,3,2,66.7,0.75,0.5,0.33,0.5,11.7,0,0,0,1.1,1.1,0.38,-0.1,-0.1
La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,22,2003.0,22.7,1,31,9,29.0,1.37,0.4,0.03,0.11,22.9,0,0,0,1.7,1.7,0.05,-0.7,-0.7
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29,1995.0,6.8,0,4,2,50.0,0.59,0.29,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003.0,26.9,3,11,5,45.5,0.41,0.19,0.27,0.6,10.8,0,0,0,2.3,2.3,0.21,0.7,0.7
La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,31,1994.0,5.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29,1996.0,9.0,0,13,6,46.2,1.44,0.67,0.0,0.0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8
La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,29,1995.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,27,1998.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,34,1990.0,28.4,3,29,9,31.0,1.02,0.32,0.0,0.0,20.3,6,3,3,3.9,1.5,0.05,-0.9,-1.5
La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29,1995.0,4.7,0,2,0,0.0,0.43,0.0,0.0,0.0,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0
La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001.0,15.3,4,25,9,36.0,1.64,0.59,0.16,0.44,14.8,0,0,0,3.6,3.6,0.14,0.4,0.4
La Liga,2425,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24,2000.0,17.4,0,12,3,25.0,0.69,0.17,0.0,0.0,15.5,0,0,0,0.5,0.5,0.04,-0.5,-0.5
La Liga,2425,Celta Vigo,Tadeo Allende,ARG,FW,26,1999.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21,2004.0,14.8,4,32,15,46.9,2.17,1.02,0.13,0.27,14.7,0,0,0,5.2,5.2,0.17,-1.2,-1.2
La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,21,2004.0,6.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",26,1999.0,29.4,4,33,10,30.3,1.12,0.34,0.12,0.4,23.3,8,0,0,1.5,1.5,0.04,2.5,2.5
La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,21,2003.0,12.1,1,18,6,33.3,1.49,0.5,0.06,0.17,10.8,0,0,0,2.2,2.2,0.12,-1.2,-1.2
La Liga,2425,Espanyol,Alex Král,CZE,MF,27,1998.0,29.8,0,21,2,9.5,0.7,0.07,0.0,0.0,16.0,0,0,0,1.5,1.5,0.07,-1.5,-1.5
La Liga,2425,Espanyol,Antoniu,ESP,"FW,MF",22,2002.0,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9
La Liga,2425,Espanyol,Brian Oliván,ESP,DF,31,1994.0,11.3,0,6,1,16.7,0.53,0.09,0.0,0.0,23.8,2,0,0,0.4,0.4,0.06,-0.4,-0.4
La Liga,2425,Espanyol,Carlos Romero,ESP,DF,23,2001.0,27.4,2,29,6,20.7,1.06,0.22,0.07,0.33,20.8,1,0,0,2.0,2.0,0.07,0.0,0.0
La Liga,2425,Espanyol,Edu Expósito,ESP,MF,28,1996.0,11.0,0,18,6,33.3,1.64,0.55,0.0,0.0,22.2,3,0,0,1.0,1.0,0.06,-1.0,-1.0
La Liga,2425,Espanyol,Fernando Calero,ESP,"DF,MF",29,1995.0,6.9,1,2,1,50.0,0.29,0.14,0.5,1.0,9.1,0,0,0,0.3,0.3,0.14,0.7,0.7
La Liga,2425,Espanyol,Irvin Cardona,FRA,"FW,MF",27,1997.0,6.7,1,10,3,30.0,1.49,0.45,0.1,0.33,17.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1
La Liga,2425,Espanyol,Javi Puado,ESP,"FW,MF",26,1998.0,32.0,11,65,19,29.2,2.03,0.59,0.11,0.37,20.5,0,4,4,10.8,7.6,0.12,0.2,-0.6
La Liga,2425,Espanyol,Joan García,ESP,GK,24,2001.0,37.0,0,1,1,100.0,0.03,0.03,0.0,0.0,10.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
La Liga,2425,Espanyol,Jofre,ESP,"MF,FW",23,2001.0,23.5,3,39,10,25.6,1.66,0.43,0.08,0.3,19.7,0,0,0,2.5,2.5,0.06,0.5,0.5
La Liga,2425,Espanyol,José Gragera,ESP,MF,24,2000.0,6.3,0,2,0,0.0,0.32,0.0,0.0,0.0,20.3,0,0,0,0.0,0.0,0.02,0.0,0.0
La Liga,2425,Espanyol,Justin Smith,CAN,MF,22,2003.0,2.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Espanyol,Leandro Cabrera,URU,DF,33,1991.0,30.9,4,19,6,31.6,0.62,0.19,0.21,0.67,12.2,0,0,0,1.1,1.1,0.06,2.9,2.9
La Liga,2425,Espanyol,Marash Kumbulla,ALB,DF,25,2000.0,33.0,3,16,5,31.3,0.48,0.15,0.19,0.6,11.4,0,0,0,1.8,1.8,0.11,1.2,1.2
La Liga,2425,Espanyol,Naci Ünüvar,NED,"MF,DF",21,2003.0,0.3,0,1,0,0.0,2.9,0.0,0.0,0.0,14.2,0,0,0,0.0,0.0,0.05,0.0,0.0
La Liga,2425,Espanyol,Omar El Hilali,MAR,DF,21,2003.0,34.0,0,2,0,0.0,0.06,0.0,0.0,0.0,30.9,0,0,0,0.0,0.0,0.01,0.0,0.0
La Liga,2425,Espanyol,Pere Milla,ESP,"MF,FW",32,1992.0,4.6,2,9,4,44.4,1.97,0.88,0.22,0.5,15.3,1,0,0,0.7,0.7,0.08,1.3,1.3
La Liga,2425,Espanyol,Pol Lozano,ESP,MF,25,1999.0,21.1,0,8,2,25.0,0.38,0.09,0.0,0.0,29.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
La Liga,2425,Espanyol,Rafael Bauza,ESP,MF,20,2005.0,2.0,0,3,0,0.0,1.48,0.0,0.0,0.0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
La Liga,2425,Espanyol,Roberto Férnandez,ESP,FW,22,2002.0,15.8,6,20,9,45.0,1.27,0.57,0.3,0.67,14.1,0,0,0,3.4,3.4,0.17,2.6,2.6
La Liga,2425,Espanyol,Roger Hinojo,ESP,DF,20,2005.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Espanyol,Sergi Gómez,ESP,DF,33,1992.0,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,8.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3
La Liga,2425,Espanyol,Urko González,ESP,MF,24,2001.0,14.4,0,4,2,50.0,0.28,0.14,0.0,0.0,15.8,0,0,0,0.5,0.5,0.14,-0.5,-0.5
La Liga,2425,Espanyol,Walid Cheddira,MAR,FW,27,1998.0,7.1,1,13,4,30.8,1.83,0.56,0.08,0.25,12.7,0,0,0,1.0,1.0,0.08,0.0,0.0
La Liga,2425,Espanyol,Álvaro Aguado,ESP,MF,29,1996.0,4.8,0,9,0,0.0,1.88,0.0,0.0,0.0,23.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4
La Liga,2425,Espanyol,Álvaro Tejero,ESP,"MF,DF",28,1996.0,13.8,1,17,4,23.5,1.24,0.29,0.06,0.25,26.1,6,0,0,0.6,0.6,0.04,0.4,0.4
La Liga,2425,Getafe,Abdoulaye Keita,ESP,"FW,MF",22,2002.0,1.1,0,2,0,0.0,1.89,0.0,0.0,0.0,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0
La Liga,2425,Getafe,Alberto Risco,ESP,"MF,FW",19,2005.0,0.8,0,4,1,25.0,5.22,1.3,0.0,0.0,21.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
La Liga,2425,Getafe,Alex Sola,ESP,"MF,FW",25,1999.0,11.4,0,15,2,13.3,1.31,0.17,0.0,0.0,18.6,0,0,0,1.0,1.0,0.06,-1.0,-1.0
La Liga,2425,Getafe,Allan Nyom,CMR,"DF,MF",37,1988.0,8.9,1,9,4,44.4,1.02,0.45,0.11,0.25,16.4,0,0,0,0.5,0.5,0.06,0.5,0.5
La Liga,2425,Getafe,Bertuğ Yıldırım,TUR,FW,22,2002.0,11.9,1,19,7,36.8,1.6,0.59,0.05,0.14,11.4,0,0,0,2.5,2.5,0.13,-1.5,-1.5
La Liga,2425,Getafe,Borja Mayoral,ESP,FW,28,1997.0,11.5,4,17,7,41.2,1.48,0.61,0.18,0.43,13.5,0,1,1,3.2,2.4,0.14,0.8,0.6
La Liga,2425,Getafe,Carles Aleñá,ESP,"MF,FW",27,1998.0,5.0,0,5,1,20.0,1.0,0.2,0.0,0.0,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9
La Liga,2425,Getafe,Carles Pérez,ESP,"MF,FW",27,1998.0,15.9,3,34,9,26.5,2.14,0.57,0.09,0.33,21.1,1,0,0,2.4,2.4,0.07,0.6,0.6
La Liga,2425,Getafe,Christantus Uche,NGA,"FW,MF",22,2003.0,26.7,4,49,14,28.6,1.84,0.52,0.08,0.29,17.3,0,0,0,3.6,3.6,0.07,0.4,0.4
La Liga,2425,Getafe,Coba da Costa,ESP,"MF,FW",22,2002.0,11.1,1,23,8,34.8,2.07,0.72,0.04,0.13,18.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1
La Liga,2425,Getafe,David Argüelles,ESP,MF,23,2002.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Getafe,David Soria,ESP,GK,32,1993.0,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Getafe,Diego Rico,ESP,DF,32,1993.0,30.3,0,16,3,18.8,0.53,0.1,0.0,0.0,31.1,1,0,0,0.4,0.4,0.02,-0.4,-0.4
La Liga,2425,Getafe,Djené,TOG,"DF,MF",33,1991.0,27.3,0,5,0,0.0,0.18,0.0,0.0,0.0,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3
La Liga,2425,Getafe,Domingos Duarte,POR,DF,30,1995.0,19.7,1,3,1,33.3,0.15,0.05,0.33,1.0,13.0,0,0,0,0.2,0.2,0.07,0.8,0.8
La Liga,2425,Getafe,Gorka Rivera Alonso,ESP,"DF,MF",20,2004.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Getafe,Iglesias,ESP,DF,26,1998.0,31.1,0,21,3,14.3,0.68,0.1,0.0,0.0,25.7,0,0,0,1.6,1.6,0.08,-1.6,-1.6
La Liga,2425,Getafe,Ismael Bekhoucha,MAR,"MF,DF",20,2004.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Getafe,Jesús Santiago,ESP,MF,20,2004.0,3.6,0,1,0,0.0,0.28,0.0,0.0,0.0,22.9,0,0,0,0.0,0.0,0.02,0.0,0.0
La Liga,2425,Getafe,John Joe,IRL,"MF,FW",21,2003.0,0.5,0,2,0,0.0,3.75,0.0,0.0,0.0,20.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
La Liga,2425,Getafe,Juan Bernat,ESP,"MF,DF",32,1993.0,7.8,0,4,0,0.0,0.52,0.0,0.0,0.0,22.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
La Liga,2425,Getafe,Juan Berrocal,ESP,DF,26,1999.0,11.3,0,4,0,0.0,0.35,0.0,0.0,0.0,11.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
La Liga,2425,Getafe,Juanmi,ESP,"FW,MF",32,1993.0,7.4,0,13,6,46.2,1.76,0.81,0.0,0.0,12.8,0,0,0,2.9,2.9,0.22,-2.9,-2.9
La Liga,2425,Getafe,Luis Milla,ESP,MF,30,1994.0,31.9,1,31,7,22.6,0.97,0.22,0.0,0.0,25.3,4,1,1,1.8,1.0,0.03,-0.8,-1.0
La Liga,2425,Getafe,Mauro Arambarri,URU,MF,29,1995.0,28.9,10,53,16,30.2,1.83,0.55,0.13,0.44,18.2,1,3,3,8.2,5.8,0.11,1.8,1.2
La Liga,2425,Getafe,Nabil Aberdin,FRA,MF,22,2002.0,2.9,0,2,0,0.0,0.68,0.0,0.0,0.0,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0
La Liga,2425,Getafe,Omar Alderete,PAR,DF,28,1996.0,33.0,1,38,10,26.3,1.15,0.3,0.03,0.1,21.9,7,0,0,1.7,1.7,0.04,-0.7,-0.7
La Liga,2425,Getafe,Peter González,DOM,"MF,FW",22,2002.0,5.3,0,12,4,33.3,2.26,0.75,0.0,0.0,19.9,2,0,0,1.3,1.3,0.1,-1.3,-1.3
La Liga,2425,Getafe,Ramón Terrats,ESP,"MF,FW",24,2000.0,12.9,4,17,8,47.1,1.32,0.62,0.24,0.5,20.6,1,0,0,2.1,2.1,0.13,1.9,1.9
La Liga,2425,Getafe,Álvaro Rodríguez,URU,FW,20,2004.0,9.5,2,25,10,40.0,2.64,1.06,0.08,0.2,16.8,0,0,0,1.2,1.2,0.05,0.8,0.8
La Liga,2425,Girona,Abel Ruiz,ESP,FW,25,2000.0,14.8,4,21,7,33.3,1.42,0.47,0.14,0.43,14.0,0,1,2,4.6,3.0,0.14,-0.6,0.0
La Liga,2425,Girona,Alejandro Francés,ESP,DF,22,2002.0,12.3,0,6,0,0.0,0.49,0.0,0.0,0.0,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
La Liga,2425,Girona,Arnau Martinez,ESP,"DF,MF",22,2003.0,28.2,2,19,6,31.6,0.67,0.21,0.11,0.33,15.4,0,0,0,1.2,1.2,0.07,0.8,0.8
La Liga,2425,Girona,Arnaut Danjuma,NED,"FW,MF",28,1997.0,14.8,2,30,14,46.7,2.02,0.94,0.07,0.14,16.0,1,0,0,3.6,3.6,0.12,-1.6,-1.6
La Liga,2425,Girona,Arthur Melo,BRA,MF,28,1996.0,9.7,0,6,1,16.7,0.62,0.1,0.0,0.0,26.0,1,0,0,0.2,0.2,0.03,-0.2,-0.2
La Liga,2425,Girona,Bojan Miovski,MKD,FW,25,1999.0,9.7,2,14,4,28.6,1.45,0.41,0.14,0.5,12.3,0,0,0,2.7,2.7,0.19,-0.7,-0.7
La Liga,2425,Girona,Bryan Gil,ESP,"FW,MF",24,2001.0,19.1,3,32,15,46.9,1.67,0.78,0.09,0.2,19.0,0,0,0,2.3,2.3,0.07,0.7,0.7
La Liga,2425,Girona,Cristhian Stuani,URU,FW,38,1986.0,11.0,11,31,16,51.6,2.82,1.45,0.26,0.5,12.7,0,3,3,8.1,5.8,0.19,2.9,2.2
La Liga,2425,Girona,Daley Blind,NED,DF,35,1990.0,29.9,0,9,4,44.4,0.3,0.13,0.0,0.0,18.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5
La Liga,2425,Girona,David López,ESP,DF,35,1989.0,27.0,1,12,3,25.0,0.44,0.11,0.08,0.33,15.9,0,0,0,0.9,0.9,0.07,0.1,0.1
La Liga,2425,Girona,Donny van de Beek,NED,MF,28,1997.0,15.8,2,18,5,27.8,1.14,0.32,0.11,0.4,14.7,0,0,0,1.5,1.5,0.08,0.5,0.5
La Liga,2425,Girona,Ferrán Ruiz,ESP,MF,22,2003.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Girona,Gabriel Osei Misehouy,NED,"FW,MF",19,2005.0,2.9,1,6,2,33.3,2.1,0.7,0.17,0.5,17.2,0,0,0,0.9,0.9,0.15,0.1,0.1
La Liga,2425,Girona,Iker Almena,ESP,"FW,DF",21,2004.0,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0
La Liga,2425,Girona,Iván Martín,ESP,MF,26,1999.0,22.4,1,11,3,27.3,0.49,0.13,0.09,0.33,19.1,0,0,0,1.8,1.8,0.16,-0.8,-0.8
La Liga,2425,Girona,Jhon Solis,COL,MF,20,2004.0,5.9,1,4,1,25.0,0.68,0.17,0.25,1.0,16.0,0,0,0,0.7,0.7,0.16,0.3,0.3
La Liga,2425,Girona,Juanpe,ESP,DF,34,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,0.0,21.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1
La Liga,2425,Girona,Kim Minsu,KOR,"MF,FW",19,2006.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Girona,Krapyvtsov Vladyslav,UKR,GK,19,2005.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Girona,Ladislav Krejčí,CZE,DF,26,1999.0,26.1,2,18,5,27.8,0.69,0.19,0.11,0.4,14.8,0,0,0,1.7,1.7,0.09,0.3,0.3
La Liga,2425,Girona,Miguel Gutiérrez,ESP,"DF,MF",23,2001.0,27.3,1,28,9,32.1,1.03,0.33,0.04,0.11,21.5,3,0,0,1.6,1.6,0.06,-0.6,-0.6
La Liga,2425,Girona,Oriol Romeu,ESP,MF,33,1991.0,14.9,0,5,1,20.0,0.34,0.07,0.0,0.0,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
La Liga,2425,Girona,Papa Ba,ESP,MF,20,2004.0,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,9.8,0,0,0,0.0,0.0,0.03,0.0,0.0
La Liga,2425,Girona,Pau López,ESP,GK,30,1994.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,33,1992.0,35.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Girona,Portu,ESP,"FW,MF",33,1992.0,8.0,1,8,3,37.5,1.01,0.38,0.13,0.33,16.6,0,0,0,1.6,1.6,0.21,-0.6,-0.6
La Liga,2425,Girona,Silvi Clúa,ESP,MF,20,2005.0,1.8,0,2,1,50.0,1.1,0.55,0.0,0.0,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0
La Liga,2425,Girona,Viktor Tsyhankov,UKR,"FW,MF",27,1997.0,20.3,2,35,9,25.7,1.73,0.44,0.06,0.22,19.9,5,0,0,2.8,2.8,0.08,-0.8,-0.8
La Liga,2425,Girona,Yangel Herrera,VEN,MF,27,1998.0,24.3,4,38,13,34.2,1.57,0.54,0.11,0.31,17.0,0,0,0,3.6,3.6,0.09,0.4,0.4
La Liga,2425,Girona,Yaser Asprilla,COL,"FW,MF",21,2003.0,14.6,3,38,11,28.9,2.6,0.75,0.08,0.27,22.9,2,0,0,2.1,2.1,0.05,0.9,0.9
La Liga,2425,Las Palmas,Aboubacar Bassinga,CIV,MF,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Las Palmas,Adnan Januzaj,BEL,"FW,MF",30,1995.0,6.1,2,16,5,31.3,2.6,0.81,0.13,0.4,23.6,4,0,0,0.8,0.8,0.05,1.2,1.2
La Liga,2425,Las Palmas,Alberto Moleiro,ESP,"FW,MF",21,2003.0,30.2,6,68,24,35.3,2.25,0.8,0.09,0.25,19.0,0,0,0,5.6,5.6,0.08,0.4,0.4
La Liga,2425,Las Palmas,Andy Pelmard,FRA,DF,25,2000.0,2.3,0,1,0,0.0,0.44,0.0,0.0,0.0,28.9,0,0,0,0.0,0.0,0.01,0.0,0.0
La Liga,2425,Las Palmas,Benito Ramírez,ESP,"DF,MF",29,1995.0,4.8,0,8,1,12.5,1.66,0.21,0.0,0.0,22.5,1,0,0,0.3,0.3,0.03,-0.3,-0.3
La Liga,2425,Las Palmas,Daley Sinkgraven,NED,DF,29,1995.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Las Palmas,Dario Essugo,POR,MF,20,2005.0,20.8,1,23,4,17.4,1.11,0.19,0.04,0.25,25.5,0,0,0,0.7,0.7,0.03,0.3,0.3
La Liga,2425,Las Palmas,Diego Martín,ESP,FW,21,2003.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,26,1999.0,11.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Las Palmas,Enzo Loiodice,FRA,MF,24,2000.0,6.6,0,5,3,60.0,0.76,0.45,0.0,0.0,25.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2
La Liga,2425,Las Palmas,Fabio González,ESP,MF,28,1997.0,0.6,0,2,0,0.0,3.4,0.0,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
La Liga,2425,Las Palmas,Fábio Silva,POR,FW,22,2002.0,20.7,10,46,20,43.5,2.22,0.96,0.17,0.4,14.8,0,2,3,8.8,6.4,0.14,1.2,1.6
La Liga,2425,Las Palmas,Jaime Mata,ESP,"FW,MF",36,1988.0,6.4,0,15,5,33.3,2.34,0.78,0.0,0.0,11.4,0,0,0,2.5,2.5,0.16,-2.5,-2.5
La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,36,1989.0,25.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
La Liga,2425,Las Palmas,Javier Muñoz,ESP,"MF,DF",30,1995.0,28.8,1,25,6,24.0,0.87,0.21,0.04,0.17,21.8,0,0,0,1.3,1.3,0.05,-0.3,-0.3
La Liga,2425,Las Palmas,José Campaña,ESP,MF,31,1993.0,13.2,0,5,3,60.0,0.38,0.23,0.0,0.0,37.0,2,0,0,0.1,0.1,0.02,-0.1,-0.1
La Liga,2425,Las Palmas,Juan Herzog,ESP,DF,22,2003.0,13.7,0,11,1,9.1,0.8,0.07,0.0,0.0,10.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8
La Liga,2425,Las Palmas,Kirian Rodríguez,ESP,MF,29,1996.0,19.5,0,21,8,38.1,1.08,0.41,0.0,0.0,21.8,0,0,0,1.6,1.6,0.08,-1.6,-1.6
La Liga,2425,Las Palmas,Manuel Fuster,ESP,"FW,MF",27,1997.0,10.1,2,17,6,35.3,1.68,0.59,0.12,0.33,22.8,0,0,0,0.7,0.7,0.04,1.3,1.3
La Liga,2425,Las Palmas,Marc Cardona,ESP,"FW,DF",29,1995.0,1.5,0,4,0,0.0,2.73,0.0,0.0,0.0,15.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4
La Liga,2425,Las Palmas,Marvin,ESP,"DF,FW",24,2000.0,10.5,0,5,0,0.0,0.47,0.0,0.0,0.0,13.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
La Liga,2425,Las Palmas,Mika Mármol,ESP,DF,23,2001.0,25.7,0,10,0,0.0,0.39,0.0,0.0,0.0,15.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
La Liga,2425,Las Palmas,Oliver McBurnie,SCO,FW,28,1996.0,20.3,3,32,12,37.5,1.58,0.59,0.09,0.25,12.3,0,0,0,4.8,4.8,0.15,-1.8,-1.8
La Liga,2425,Las Palmas,Pejiño,ESP,FW,28,1996.0,0.2,0,1,0,0.0,5.63,0.0,0.0,0.0,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0
La Liga,2425,Las Palmas,Sandro Ramírez,ESP,"FW,MF",29,1995.0,22.6,9,51,20,39.2,2.26,0.88,0.16,0.4,24.3,14,1,1,4.1,3.3,0.06,4.9,4.7
La Liga,2425,Las Palmas,Scott McKenna,SCO,DF,28,1996.0,26.4,0,9,0,0.0,0.34,0.0,0.0,0.0,12.9,0,0,0,1.1,1.1,0.12,-1.1,-1.1
