league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26,1999.0,3.3,3,15,9,60.0,4.53,2.72,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8
Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28,1996.0,1.1,0,5,0,0.0,4.59,0.0,0.0,0.0,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7
Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32,1992.0,35.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27,1997.0,31.6,2,11,5,45.5,0.35,0.16,0.18,0.4,8.8,0,0,0,1.3,1.3,0.12,0.7,0.7
Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,23,2002.0,11.7,1,19,5,26.3,1.63,0.43,0.05,0.2,22.1,0,0,0,0.9,0.9,0.05,0.1,0.1
Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001.0,17.7,1,19,4,21.1,1.07,0.23,0.05,0.25,16.8,0,0,0,1.6,1.6,0.08,-0.6,-0.6
Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",23,2002.0,3.7,0,7,0,0.0,1.9,0.0,0.0,0.0,16.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",30,1994.0,24.0,1,29,5,17.2,1.21,0.21,0.03,0.2,16.4,1,0,0,3.0,2.7,0.09,-2.0,-1.7
Premier League,2425,Aston Villa,Jáder Durán,COL,FW,21,2003.0,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1
Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19,2005.0,1.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",21,2004.0,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27,1997.0,12.7,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7
Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993.0,26.1,0,13,3,23.1,0.5,0.11,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8
Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29,1996.0,7.8,3,22,9,40.9,2.83,1.16,0.14,0.33,19.6,1,0,2,4.4,2.9,0.13,-1.4,0.1
Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27,1997.0,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3
Premier League,2425,Aston Villa,Matty Cash,POL,DF,27,1997.0,22.0,1,12,5,41.7,0.55,0.23,0.08,0.2,19.0,0,0,0,0.4,0.4,0.04,0.6,0.6
Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002.0,33.7,8,55,20,36.4,1.63,0.59,0.15,0.4,15.9,0,0,0,6.6,6.6,0.12,1.4,1.4
Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29,1995.0,27.9,16,82,36,43.9,2.94,1.29,0.17,0.39,12.1,0,2,2,15.3,13.8,0.17,0.7,0.2
Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28,1997.0,21.4,0,8,2,25.0,0.37,0.09,0.0,0.0,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35,1990.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31,1993.0,6.4,3,15,5,33.3,2.35,0.78,0.2,0.6,14.0,0,0,0,1.7,1.7,0.11,1.3,1.3
Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,32,1993.0,12.4,0,9,1,11.1,0.72,0.08,0.0,0.0,11.8,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,28,1997.0,33.3,3,38,12,31.6,1.14,0.36,0.08,0.25,20.3,0,0,1,3.1,2.3,0.06,-0.1,0.7
Premier League,2425,Bournemouth,Adam Smith,ENG,DF,34,1991.0,16.7,0,3,0,0.0,0.18,0.0,0.0,0.0,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21,2003.0,8.4,0,14,5,35.7,1.67,0.6,0.0,0.0,20.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,25,2000.0,34.6,9,121,38,31.4,3.5,1.1,0.07,0.24,17.1,0,0,0,9.5,9.5,0.08,-0.5,-0.5
Premier League,2425,Bournemouth,Ben Winterburn,ENG,"FW,MF",20,2004.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,23,2002.0,22.3,7,62,20,32.3,2.78,0.9,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4
