league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Wolves,Yerson Mosquera,COL,DF,24,2001.0,4.9,240,230,9,4,0,1,2,0,0,0,0,0,205,1,3
La Liga,2425,Alavés,Abdel Abqar,MAR,DF,26,1999.0,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6
La Liga,2425,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26,1998.0,4.3,118,108,10,1,0,1,17,2,7,4,0,0,74,0,6
La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,24,2000.0,1.4,50,13,37,13,0,0,0,0,0,0,0,0,19,0,1
La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,33,1991.0,5.7,208,197,11,6,0,1,0,3,0,0,0,0,170,0,1
La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997.0,21.6,995,950,37,22,0,6,5,2,0,0,0,0,762,8,19
La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000.0,29.3,1240,1171,61,51,5,23,29,7,0,0,0,0,978,8,24
La Liga,2425,Alavés,Antonio Sivera,ESP,GK,28,1996.0,30.2,933,569,361,147,0,0,0,0,0,0,0,0,501,3,1
La Liga,2425,Alavés,Asier Villalibre,ESP,FW,27,1997.0,3.7,69,64,5,0,1,0,2,0,0,0,0,0,44,0,1
La Liga,2425,Alavés,Carles Aleñá,ESP,"MF,FW",27,1998.0,11.1,431,411,20,7,5,0,28,2,10,5,4,0,324,0,21
La Liga,2425,Alavés,Carlos Benavídez,URU,MF,27,1998.0,4.5,195,190,4,2,3,1,1,1,0,0,0,0,133,1,4
La Liga,2425,Alavés,Carlos Martín,ESP,"FW,MF",23,2002.0,14.7,393,387,6,2,4,2,24,4,0,0,0,0,257,0,23
La Liga,2425,Alavés,Carlos Vicente,ESP,"FW,MF",26,1999.0,33.4,1104,918,177,46,3,2,261,50,81,24,39,5,694,9,67
La Liga,2425,Alavés,Facundo Garcés,ARG,DF,25,1999.0,6.5,172,160,12,11,0,0,1,1,0,0,0,0,132,0,2
La Liga,2425,Alavés,Hugo Novoa,ESP,"DF,MF",22,2003.0,2.6,69,59,10,0,0,1,7,10,0,0,0,0,53,0,3
La Liga,2425,Alavés,Jesús Owono,EQG,GK,24,2001.0,5.4,163,108,54,18,1,0,0,0,0,0,0,0,99,1,1
La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994.0,15.7,915,761,151,66,0,18,106,3,63,26,31,1,685,3,16
La Liga,2425,Alavés,Jon Guridi,ESP,"MF,FW",30,1995.0,22.4,715,682,28,7,2,0,17,4,5,1,3,0,532,5,16
La Liga,2425,Alavés,Kiké,ESP,FW,35,1989.0,27.6,572,555,14,2,4,5,12,1,0,0,0,0,374,3,16
La Liga,2425,Alavés,Luis Rioja,ESP,FW,31,1993.0,0.3,11,9,2,1,0,0,6,1,0,0,0,0,5,0,0
La Liga,2425,Alavés,Luka Romero,ARG,"FW,MF",20,2004.0,2.2,49,43,6,1,0,0,10,0,4,0,3,0,34,0,1
La Liga,2425,Alavés,Manu Sánchez,ESP,DF,24,2000.0,28.3,1079,795,277,19,1,3,77,254,4,1,2,0,778,7,41
La Liga,2425,Alavés,Moussa Diarra,MLI,DF,24,2000.0,20.7,835,711,120,29,0,6,23,90,0,0,0,0,670,4,14
La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,29,1996.0,31.5,1367,1010,350,11,0,4,83,336,0,0,0,0,992,7,35
La Liga,2425,Alavés,Pau Cabanes,ESP,"MF,FW",20,2005.0,2.1,84,79,4,1,0,0,12,3,0,0,0,0,59,1,4
La Liga,2425,Alavés,Pica,ESP,DF,23,2002.0,5.4,198,185,12,4,0,1,2,1,0,0,0,0,152,1,2
La Liga,2425,Alavés,Santiago Mouriño,URU,DF,23,2002.0,20.5,691,638,50,23,2,3,4,23,0,0,0,0,539,3,8
La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",31,1993.0,7.8,214,204,9,0,6,1,13,0,0,0,0,0,132,1,13
La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",27,1998.0,9.1,314,296,15,0,2,0,31,12,3,0,3,0,199,3,12
La Liga,2425,Alavés,Toni Martínez,ESP,"FW,MF",27,1997.0,10.9,232,219,10,0,2,2,7,1,0,0,0,0,135,3,2
La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002.0,12.2,502,397,105,6,0,0,31,99,0,0,0,0,401,0,10
La Liga,2425,Athletic Club,Adu Ares,ESP,FW,23,2001.0,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1
La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,19,2005.0,0.6,18,18,0,0,0,0,4,0,0,0,0,0,9,0,2
La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,25,2000.0,19.1,928,891,35,28,0,6,1,0,0,0,0,0,776,2,5
La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,21,2003.0,3.6,121,79,41,19,0,0,0,0,0,0,0,0,67,1,0
La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,35,1989.0,3.0,200,194,6,5,0,0,1,1,0,0,0,0,181,0,0
La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996.0,16.5,884,690,193,14,0,0,41,179,0,0,0,0,736,1,21
La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,24,2001.0,18.7,781,766,14,11,4,3,8,3,0,0,0,0,640,1,9
La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999.0,28.7,1748,1680,65,58,2,11,8,2,0,0,0,0,1521,3,13
La Liga,2425,Athletic Club,Endika Buján,ESP,FW,22,2003.0,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,0
La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996.0,20.4,411,383,25,0,1,4,5,3,0,0,0,0,298,3,13
La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994.0,29.3,829,797,26,0,7,7,115,21,0,0,0,0,525,6,35
La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,32,1993.0,8.6,438,347,89,10,0,1,16,79,0,0,0,0,344,2,6
La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993.0,15.7,827,789,34,26,6,6,29,0,6,1,5,0,669,4,18
La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",26,1999.0,0.6,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,24,2000.0,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0
La Liga,2425,Athletic Club,Maroan Sannadi,ESP,FW,24,2001.0,7.4,142,139,3,0,1,0,5,0,0,0,0,0,102,0,9
La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003.0,23.9,1100,1055,42,24,5,13,27,0,18,2,11,0,886,3,13
La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,32,1993.0,11.0,539,523,14,9,3,4,8,4,0,0,0,0,429,2,4
La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002.0,21.3,687,623,60,8,0,3,107,12,40,12,20,0,486,4,34
La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,22,2003.0,1.2,44,37,7,2,0,0,13,0,5,4,0,0,25,0,0
La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,25,2000.0,17.7,562,540,18,2,5,4,18,3,0,0,0,0,455,4,14
La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",20,2005.0,2.9,112,96,16,3,0,1,16,0,11,1,9,0,89,0,1
La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003.0,13.6,292,268,23,3,2,0,23,1,12,11,0,0,211,1,6
La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,28,1997.0,6.5,311,297,14,12,0,7,0,0,0,0,0,0,271,0,0
La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997.0,20.0,630,467,159,48,0,0,0,0,0,0,0,0,441,4,0
La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,30,1995.0,19.8,1182,1126,52,40,1,16,3,2,0,0,0,0,994,4,13
La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,35,1990.0,21.7,1368,1130,235,25,0,18,40,210,0,0,0,0,1148,3,18
La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995.0,25.0,929,749,173,54,6,3,172,15,99,41,35,1,615,7,28
La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,25,1999.0,7.3,128,123,4,0,0,4,14,1,0,0,0,0,85,1,3
La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,36,1989.0,16.4,980,768,210,20,2,2,52,190,0,0,0,0,779,2,20
La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995.0,17.1,352,334,12,0,1,0,5,0,0,0,0,0,226,6,5
La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34,1991.0,26.8,1415,1265,145,26,12,9,137,13,81,28,29,0,1049,5,39
La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,36,1989.0,8.5,496,478,17,13,0,2,0,1,0,0,0,0,446,1,1
La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995.0,20.9,1288,1249,38,32,0,13,4,2,0,0,0,0,1118,1,13
La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000.0,17.9,823,802,16,6,3,1,13,8,1,1,0,0,699,5,18
La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,35,1989.0,8.7,615,532,83,8,1,3,4,75,0,0,0,0,529,0,3
La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,22,2002.0,21.1,782,752,29,0,2,0,49,28,1,0,0,0,591,1,40
La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,32,1993.0,36.0,948,608,339,62,0,1,0,0,0,0,0,0,763,1,0
La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,30,1994.0,19.8,1028,838,186,19,1,2,57,167,0,0,0,0,852,4,24
La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,30,1995.0,22.2,1362,1283,78,54,1,18,0,5,0,0,0,0,1250,1,4
La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,31,1994.0,1.0,29,13,15,4,0,1,0,0,0,0,0,0,23,1,0
La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000.0,26.9,922,842,78,8,12,11,66,6,44,18,15,0,688,2,30
La Liga,2425,Atlético Madrid,Koke,ESP,MF,33,1992.0,20.6,1569,1497,64,48,2,6,20,6,10,3,2,0,1378,8,16
La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995.0,26.9,1533,1344,180,13,1,2,61,167,0,0,0,0,1311,9,34
La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,27,1998.0,17.0,1157,976,175,15,2,5,53,151,9,3,6,0,926,6,35
La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003.0,25.7,1505,1472,30,23,5,11,26,5,0,0,0,0,1295,3,28
La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,DF,31,1994.0,10.5,612,517,95,11,0,1,8,84,0,0,0,0,515,0,7
La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996.0,23.9,1298,1263,34,26,0,5,1,4,0,0,0,0,1174,1,3
La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,31,1994.0,22.5,1700,1584,105,73,26,14,58,18,12,2,7,0,1388,11,28
La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",25,2000.0,5.7,269,244,25,3,1,0,34,8,13,6,5,0,210,0,10
La Liga,2425,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25,1999.0,16.5,784,755,28,3,1,3,40,23,2,0,0,0,620,1,30
La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,29,1995.0,0.9,68,61,7,4,0,0,3,1,2,0,0,0,57,0,1
La Liga,2425,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30,1995.0,8.7,272,258,11,0,1,2,24,1,7,1,1,0,200,3,13
La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,21,2003.0,24.5,1417,1227,186,28,2,2,67,158,0,0,0,0,1244,4,27
La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,29,1996.0,2.5,189,188,1,1,0,0,0,0,0,0,0,0,173,0,2
La Liga,2425,Barcelona,Ansu Fati,ESP,FW,22,2002.0,2.6,125,119,4,3,2,0,0,0,1,0,0,0,104,2,3
La Liga,2425,Barcelona,Dani Olmo,ESP,"MF,FW",27,1998.0,13.2,624,596,26,9,11,6,20,0,10,6,1,0,505,2,18
La Liga,2425,Barcelona,Daniel Rodriguez,ESP,FW,19,2005.0,0.4,20,20,0,0,0,0,3,0,0,0,0,0,15,0,0
La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",24,2001.0,16.4,1251,1190,59,24,3,2,7,34,0,0,0,0,1153,2,10
La Liga,2425,Barcelona,Fermin López,ESP,"MF,FW",22,2003.0,12.9,619,573,43,5,5,4,42,4,25,11,2,1,510,3,11
La Liga,2425,Barcelona,Ferrán Torres,ESP,"FW,MF",25,2000.0,12.3,360,329,28,5,2,2,17,1,9,2,0,0,267,3,14
La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,28,1997.0,12.6,1140,1113,25,23,4,2,6,2,0,0,0,0,1076,2,11
La Liga,2425,Barcelona,Gavi,ESP,"MF,FW",20,2004.0,11.1,716,696,19,11,1,4,9,5,1,0,0,0,638,1,7
La Liga,2425,Barcelona,Gerard Martín,ESP,DF,23,2002.0,11.4,786,679,106,11,1,1,36,95,0,0,0,0,654,1,23
La Liga,2425,Barcelona,Héctor Fort,ESP,DF,18,2006.0,6.5,497,440,56,4,0,2,12,52,0,0,0,0,448,1,12
La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,26,1999.0,14.5,588,484,104,27,0,0,0,0,0,0,0,0,521,0,0
La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,34,1991.0,27.7,2435,2316,116,94,3,34,8,7,0,0,0,0,2217,3,15
La Liga,2425,Barcelona,Jules Koundé,FRA,DF,26,1998.0,28.9,2140,1803,332,66,6,13,63,266,0,0,0,0,1856,5,25
La Liga,2425,Barcelona,Lamine Yamal,ESP,FW,17,2007.0,30.7,1502,1448,46,5,33,3,106,21,20,5,0,0,1122,8,56
La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17,2007.0,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2
La Liga,2425,Barcelona,Marc Casado,ESP,MF,21,2003.0,17.9,1367,1330,37,34,4,7,9,3,0,0,0,0,1221,0,17
La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,33,1992.0,7.5,251,213,38,11,0,0,0,0,0,0,0,0,233,0,0
La Liga,2425,Barcelona,Pablo Torre,ESP,"MF,FW",22,2003.0,3.4,220,198,21,5,3,0,13,0,14,9,1,0,180,1,4
La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,18,2007.0,28.1,2556,2473,80,64,4,7,2,6,0,0,0,0,2388,3,6
La Liga,2425,Barcelona,Pau Victor Delgado,ESP,FW,23,2001.0,3.5,121,117,4,1,0,0,3,1,0,0,0,0,98,0,2
La Liga,2425,Barcelona,Pedri,ESP,MF,22,2002.0,31.1,2626,2488,134,68,25,16,58,15,41,22,1,0,2289,4,42
La Liga,2425,Barcelona,Raphinha,BRA,"FW,MF",28,1996.0,30.8,1465,1231,222,48,11,15,211,19,138,47,41,0,1040,12,36
La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,36,1988.0,28.7,514,495,15,1,3,6,5,0,0,0,0,0,376,4,21
La Liga,2425,Barcelona,Ronald Araújo,URU,DF,26,1999.0,7.7,643,619,23,16,0,1,0,6,0,0,0,0,586,1,0
La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,20,2005.0,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0
La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,35,1990.0,15.0,454,377,75,21,0,1,0,0,0,0,0,0,402,2,0
La Liga,2425,Betis,Abde Ezzalzouli,MAR,"FW,MF",23,2001.0,22.0,757,732,23,6,2,4,49,15,1,0,0,0,542,2,27
La Liga,2425,Betis,Adrián,ESP,GK,38,1987.0,19.0,619,453,163,54,0,0,0,0,0,0,0,0,474,3,4
La Liga,2425,Betis,Aitor Ruibal,ESP,"DF,FW",29,1996.0,14.6,612,516,91,5,1,1,32,81,2,1,1,0,495,5,14
La Liga,2425,Betis,Antony,BRA,FW,25,2000.0,15.1,768,722,45,11,7,5,40,20,14,4,4,0,622,1,18
La Liga,2425,Betis,Assane Diao,SEN,FW,19,2005.0,3.1,66,61,5,0,0,0,4,2,0,0,0,0,49,0,4
La Liga,2425,Betis,Carlos Guirao,ESP,MF,22,2003.0,1.2,46,43,3,2,0,0,0,1,0,0,0,0,36,0,4
La Liga,2425,Betis,Cucho,COL,FW,26,1999.0,12.7,310,281,28,0,1,5,12,1,0,0,0,0,223,1,10
La Liga,2425,Betis,Cédric Bakambu,COD,FW,34,1991.0,7.9,126,120,5,0,1,0,2,0,0,0,0,0,85,1,7
La Liga,2425,Betis,Diego Llorente,ESP,DF,31,1993.0,28.0,1595,1533,59,53,0,11,1,5,0,0,0,0,1383,3,9
La Liga,2425,Betis,Ezequiel Ávila,ARG,FW,31,1994.0,7.5,238,215,21,3,0,2,29,10,2,1,1,0,166,2,9
La Liga,2425,Betis,Fran Vieites,ESP,GK,26,1999.0,4.0,119,71,48,19,0,1,0,0,0,0,0,0,76,0,0
La Liga,2425,Betis,Giovani Lo Celso,ARG,"MF,FW",29,1996.0,16.2,970,812,157,73,15,8,95,11,67,36,22,0,766,1,21
La Liga,2425,Betis,Héctor Bellerín,ESP,DF,30,1995.0,6.4,328,277,51,6,2,0,10,45,0,0,0,0,270,0,6
La Liga,2425,Betis,Iker Losada,ESP,"MF,FW",23,2001.0,3.7,142,141,1,1,2,1,4,0,0,0,0,0,107,0,6
La Liga,2425,Betis,Isco,ESP,MF,33,1992.0,17.2,1173,1027,143,60,6,27,92,5,72,28,28,0,957,3,24
La Liga,2425,Betis,Jesus Rodríguez,ESP,FW,19,2005.0,12.3,331,322,8,1,0,0,18,4,3,0,1,0,241,1,16
La Liga,2425,Betis,Johnny Cardoso,USA,MF,23,2001.0,23.8,1109,1083,24,23,2,10,3,1,0,0,0,0,950,2,21
La Liga,2425,Betis,Juanmi,ESP,"FW,MF",32,1993.0,2.7,70,67,3,1,0,0,1,2,0,0,0,0,58,0,5
La Liga,2425,Betis,Marc Bartra,ESP,DF,34,1991.0,23.3,1163,1093,63,50,3,19,1,5,0,0,0,0,945,7,8
La Liga,2425,Betis,Marc Roca,ESP,MF,28,1996.0,10.1,538,510,26,24,0,4,10,0,1,0,1,0,465,2,10
La Liga,2425,Betis,Mateo Flores,ESP,MF,21,2004.0,1.7,69,67,2,2,0,0,1,0,0,0,0,0,56,0,2
La Liga,2425,Betis,Nabil Fekir,FRA,MF,31,1993.0,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4
La Liga,2425,Betis,Natan,BRA,DF,24,2001.0,24.2,1265,1197,64,48,0,11,2,11,0,0,0,0,1122,4,0
La Liga,2425,Betis,Nobel Mendy,FRA,DF,20,2004.0,1.2,54,51,3,1,0,0,0,1,0,0,0,0,46,0,0
La Liga,2425,Betis,Pablo Fornals,ESP,"MF,FW",29,1996.0,20.3,1110,1052,55,20,10,10,54,12,23,7,6,0,888,3,26
La Liga,2425,Betis,Pablo Garcia,ESP,FW,18,2006.0,0.4,14,13,1,0,0,1,2,1,0,0,0,0,10,0,1
La Liga,2425,Betis,Ricardo Rodríguez,SUI,DF,32,1992.0,14.2,744,611,130,17,0,3,15,113,0,0,0,0,610,3,8
La Liga,2425,Betis,Rodri,ESP,FW,25,2000.0,1.3,66,61,5,1,0,1,6,1,3,2,1,0,56,0,3
La Liga,2425,Betis,Romain Perraud,FRA,DF,27,1997.0,22.2,1157,917,235,31,0,5,71,204,0,0,0,0,922,5,45
La Liga,2425,Betis,Rui Silva,POR,GK,31,1994.0,15.0,524,404,118,42,0,0,0,0,0,0,0,0,412,2,0
La Liga,2425,Betis,Sergi Altimira,ESP,MF,23,2001.0,21.9,1257,1230,26,22,4,16,5,3,0,0,0,0,1124,1,17
La Liga,2425,Betis,Sergio Arribas,ESP,DF,22,2003.0,1.0,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2
La Liga,2425,Betis,Vitor Roque,BRA,FW,20,2005.0,13.7,195,163,32,0,1,0,6,1,1,0,0,0,142,0,7
La Liga,2425,Betis,William Carvalho,POR,MF,33,1992.0,5.4,395,383,10,10,0,4,2,0,0,0,0,0,343,2,8
La Liga,2425,Betis,Youssouf Sabaly,SEN,DF,32,1993.0,17.6,994,798,196,20,2,3,31,176,0,0,0,0,862,0,20
La Liga,2425,Betis,Ángel Ortíz,ESP,DF,20,2004.0,3.9,225,186,38,3,0,0,19,35,0,0,0,0,167,1,10
La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",26,1999.0,14.4,356,350,4,1,0,2,36,3,0,0,0,0,252,2,25
La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,25,1999.0,7.8,107,85,21,0,0,0,1,0,0,0,0,0,76,1,6
La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,32,1993.0,20.9,470,408,54,1,8,8,5,2,0,0,0,0,331,8,21
La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995.0,25.2,1643,1614,29,22,1,5,0,0,0,0,0,0,1539,0,4
La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001.0,12.1,883,852,28,26,0,6,0,2,0,0,0,0,776,3,5
La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003.0,10.3,814,746,66,34,2,6,30,0,31,5,16,0,726,2,10
La Liga,2425,Celta Vigo,Fer López,0,"FW,MF",nan,0.0,7.4,258,252,2,0,6,4,2,0,2,1,1,0,219,4,5
La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,26,1999.0,25.9,1433,1381,48,44,6,14,5,2,1,0,1,0,1267,4,16
La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994.0,3.0,132,108,24,4,2,0,6,18,2,1,1,0,91,0,7
La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,21,2003.0,13.9,1017,940,77,37,3,19,50,1,39,14,18,0,872,0,10
La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003.0,17.5,1013,856,151,16,0,2,31,125,10,4,1,0,799,6,33
La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",37,1987.0,18.5,832,808,16,2,17,8,13,8,2,0,1,0,624,8,26
La Liga,2425,Celta Vigo,Iker Losada,ESP,"FW,MF",23,2001.0,4.0,128,127,0,0,3,2,5,0,0,0,0,0,96,1,4
La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,22,2003.0,22.7,947,916,27,22,3,11,6,4,0,0,0,0,816,4,6
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997.0,4.0,117,76,41,6,0,0,0,0,0,0,0,0,95,0,0
La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29,1995.0,6.8,481,473,8,6,0,2,1,1,0,0,0,0,435,0,5
La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003.0,26.9,1619,1514,105,32,2,9,4,73,0,0,0,0,1400,0,18
La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,31,1994.0,5.7,373,358,15,9,1,0,3,6,0,0,0,0,335,0,5
La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29,1996.0,9.0,364,347,14,2,3,1,25,11,1,0,0,0,287,3,12
La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,29,1995.0,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,27,1998.0,0.0,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,34,1990.0,28.4,2299,2145,151,77,2,23,38,52,14,10,2,0,2046,3,23
La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29,1995.0,4.7,243,183,60,7,0,0,13,46,7,3,3,1,189,0,9
La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001.0,15.3,395,370,23,0,1,3,18,7,1,0,1,0,281,2,19
La Liga,2425,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24,2000.0,17.4,837,696,138,3,2,2,40,134,1,0,0,0,634,3,28
La Liga,2425,Celta Vigo,Tadeo Allende,ARG,FW,26,1999.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987.0,33.0,946,657,287,59,0,1,0,0,0,0,0,0,776,2,0
La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21,2004.0,14.8,359,356,2,0,4,1,18,2,0,0,0,0,262,1,18
La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,21,2004.0,6.5,426,412,14,12,2,1,0,2,0,0,0,0,394,0,1
La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",26,1999.0,29.4,2110,1745,356,65,14,11,130,259,32,13,14,0,1628,9,39
La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,21,2003.0,12.1,183,157,26,0,0,0,0,2,0,0,0,0,120,0,2
La Liga,2425,Espanyol,Alex Král,CZE,MF,27,1998.0,29.8,831,795,29,10,6,6,38,2,4,0,4,0,596,7,30
La Liga,2425,Espanyol,Antoniu,ESP,"FW,MF",22,2002.0,11.4,221,214,4,1,4,0,20,3,0,0,0,0,148,3,15
La Liga,2425,Espanyol,Brian Oliván,ESP,DF,31,1994.0,11.3,458,362,95,13,0,3,55,73,9,1,6,0,317,1,13
La Liga,2425,Espanyol,Carlos Romero,ESP,DF,23,2001.0,27.4,966,772,191,20,1,5,84,151,20,5,5,0,697,3,31
La Liga,2425,Espanyol,Edu Expósito,ESP,MF,28,1996.0,11.0,462,386,71,36,13,3,64,1,33,9,19,1,301,5,8
La Liga,2425,Espanyol,Fernando Calero,ESP,"DF,MF",29,1995.0,6.9,309,291,17,8,0,4,1,4,0,0,0,0,261,1,2
La Liga,2425,Espanyol,Irvin Cardona,FRA,"FW,MF",27,1997.0,6.7,161,154,6,0,1,2,14,4,0,0,0,0,100,1,6
La Liga,2425,Espanyol,Javi Puado,ESP,"FW,MF",26,1998.0,32.0,654,628,22,0,6,6,25,6,1,0,0,0,502,4,17
La Liga,2425,Espanyol,Joan García,ESP,GK,24,2001.0,37.0,1221,884,334,122,0,5,0,0,0,0,0,0,873,3,1
La Liga,2425,Espanyol,Jofre,ESP,"MF,FW",23,2001.0,23.5,504,487,14,1,2,2,53,11,2,0,2,0,333,3,26
La Liga,2425,Espanyol,José Gragera,ESP,MF,24,2000.0,6.3,217,206,10,10,0,1,0,0,0,0,0,0,190,1,2
