league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27,1997.0,12.7,390,369,18,0,5,1,34,1,17,9,0,0,277,3,24
Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993.0,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29,1996.0,7.8,301,261,38,14,2,1,36,0,22,10,1,0,234,2,7
Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27,1997.0,4.9,164,134,29,5,3,1,28,1,21,15,0,0,117,1,9
Premier League,2425,Aston Villa,Matty Cash,POL,DF,27,1997.0,22.0,900,740,159,23,0,1,38,136,0,0,0,0,705,1,21
Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002.0,33.7,893,840,47,2,21,6,26,9,0,0,0,0,657,6,43
Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29,1995.0,27.9,409,400,6,0,0,1,7,0,0,0,0,0,301,3,16
Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28,1997.0,21.4,1341,1223,114,64,4,11,3,3,0,0,0,0,1194,4,4
Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35,1990.0,2.0,76,57,19,7,0,0,0,0,0,0,0,0,54,0,0
Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31,1993.0,6.4,387,373,13,11,0,2,1,1,0,0,0,0,333,1,8
Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,32,1993.0,12.4,676,630,46,20,0,3,1,0,0,0,0,0,596,0,7
Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,28,1997.0,33.3,2044,1831,206,98,24,8,118,2,85,63,8,1,1679,7,37
Premier League,2425,Bournemouth,Adam Smith,ENG,DF,34,1991.0,16.7,620,504,115,8,1,2,32,107,0,0,0,0,467,1,13
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21,2003.0,8.4,342,317,23,10,2,4,7,1,5,3,0,0,286,2,6
Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,25,2000.0,34.6,1084,1018,56,4,9,5,57,49,3,0,1,0,792,10,39
Premier League,2425,Bournemouth,Ben Winterburn,ENG,"FW,MF",20,2004.0,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,23,2002.0,22.3,612,579,30,0,5,5,88,26,3,1,0,0,367,3,22
Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21,2003.0,1.0,37,37,0,0,0,0,1,0,0,0,0,0,30,0,1
Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997.0,10.0,380,344,36,10,3,0,48,9,14,6,4,0,289,0,13
Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20,2005.0,26.8,1615,1556,53,32,2,15,12,6,0,0,0,0,1348,6,12
Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28,1997.0,3.8,99,96,2,1,1,1,4,0,0,0,0,0,63,1,6
Premier League,2425,Bournemouth,Evanilson,BRA,FW,25,1999.0,24.8,330,325,4,1,4,4,0,0,0,0,0,0,234,1,11
