league,season,team,player,nation,position,age,born_year,90s,touches,touches_def_penalty_area,touches_def_third,touches_mid_third,touches_ofe_third,touches_ofe_penalty_area,touches_live,take_ons_attempted,take_ons_successful,perc_take_ons,times_tackled_during_take_ons,perc_tackles,carries,carries_distance,progressive_carries_distance,progressive_carries,carries_into_ofe_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19,2006.0,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0
Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25,1999.0,4.1,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30
Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26,1998.0,2.9,181,4,28,95,58,6,181,4,2,50.0,2,50.0,93,474,221,5,1,0,1,3,137,11
Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22,2003.0,34.0,2840,368,1333,1387,136,35,2840,12,6,50.0,5,41.7,1596,7292,3987,14,12,1,14,8,2057,12
Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22,2003.0,20.5,1589,63,385,768,449,43,1589,16,4,25.0,11,68.8,879,4466,2214,49,35,8,18,17,1069,85
Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998.0,32.2,2187,113,658,1019,520,75,2187,14,4,28.6,8,57.1,929,3989,2325,35,21,2,27,6,1355,114
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19,2006.0,0.8,22,0,2,8,12,3,22,1,0,0.0,1,100.0,12,30,8,0,0,0,2,0,12,3
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19,2006.0,0.1,9,1,2,4,3,0,9,0,0,0.0,0,0.0,7,25,5,0,1,0,0,1,6,0
Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23,2001.0,36.2,2539,92,551,1555,462,15,2539,64,29,45.3,22,34.4,1397,6845,3372,43,38,2,37,25,1760,36
Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24,2001.0,1.7,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12
Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001.0,24.7,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129
Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23,2002.0,21.6,932,20,94,276,578,182,932,96,42,43.8,44,45.8,613,5129,3312,150,48,91,49,25,718,222
Premier League,2425,Chelsea,Pedro Neto,POR,FW,25,2000.0,24.4,1129,13,100,330,717,113,1129,102,34,33.3,44,43.1,735,6178,3250,123,55,45,45,29,822,250
Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25,1999.0,10.8,885,37,241,481,169,7,885,17,7,41.2,6,35.3,458,1785,802,7,4,1,6,8,571,12
Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003.0,2.0,167,2,61,82,27,3,167,5,3,60.0,2,40.0,85,417,144,4,5,1,1,0,110,3
Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27,1997.0,31.0,1287,948,1275,12,0,0,1287,0,0,0.0,0,0.0,860,4325,2762,0,0,0,0,0,803,0
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21,2004.0,8.5,482,16,106,312,70,1,482,14,9,64.3,5,35.7,289,1319,539,3,9,0,3,7,350,7
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17,2007.0,0.0,2,0,0,0,2,1,2,0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,2,0
Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27,1997.0,14.7,1255,163,596,633,27,14,1255,5,4,80.0,0,0.0,733,2991,1697,5,2,0,3,0,948,1
Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999.0,10.1,774,73,331,389,59,12,774,5,2,40.0,1,20.0,426,1753,772,4,5,1,3,2,574,2
Premier League,2425,Chelsea,Tyrique George,ENG,FW,19,2006.0,2.0,70,1,11,21,39,9,70,5,3,60.0,2,40.0,46,373,209,9,1,5,3,0,53,22
Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24,2000.0,13.0,933,81,370,523,55,10,933,15,8,53.3,3,20.0,557,3149,1614,19,12,1,16,5,665,4
Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004.0,14.6,871,30,204,462,212,11,871,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11
Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19,2005.0,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,28,1996.0,2.9,175,10,63,76,42,3,175,6,2,33.3,3,50.0,68,354,243,5,2,1,4,2,68,15
Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006.0,0.1,11,1,4,2,5,0,11,0,0,0.0,0,0.0,4,46,36,1,1,0,0,2,3,0
Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003.0,1.0,90,5,41,49,1,0,90,0,0,0.0,0,0.0,58,318,232,2,0,0,1,0,69,0
Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,25,2000.0,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7
Premier League,2425,Crystal Palace,Chris Richards,USA,DF,25,2000.0,20.4,1090,126,590,433,73,19,1090,6,1,16.7,5,83.3,510,2297,959,6,5,0,5,5,605,2
Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28,1996.0,16.4,887,19,196,462,236,31,887,17,6,35.3,9,52.9,451,2164,1052,24,19,5,16,19,566,54
