league,season,team,player,nation,position,age,born_year,90s,touches,touches_def_penalty_area,touches_def_third,touches_mid_third,touches_ofe_third,touches_ofe_penalty_area,touches_live,take_ons_attempted,take_ons_successful,perc_take_ons,times_tackled_during_take_ons,perc_tackles,carries,carries_distance,progressive_carries_distance,progressive_carries,carries_into_ofe_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",27,1998.0,9.1,436,9,62,185,191,33,436,11,5,45.5,6,54.5,237,948,388,13,18,2,31,9,294,60
La Liga,2425,Alavés,Toni Martínez,ESP,"FW,MF",27,1997.0,10.9,384,14,32,162,196,70,384,12,8,66.7,3,25.0,150,727,262,13,7,7,39,10,260,54
La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002.0,12.2,627,25,158,309,165,14,627,26,8,30.8,16,61.5,288,1675,890,25,21,5,23,15,332,36
La Liga,2425,Athletic Club,Adu Ares,ESP,FW,23,2001.0,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2
La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,19,2005.0,0.6,25,1,2,11,13,0,25,4,1,25.0,3,75.0,15,106,59,2,2,0,0,1,18,3
La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,25,2000.0,19.1,1127,120,607,508,14,10,1127,1,0,0.0,1,100.0,582,2945,1579,3,3,0,7,1,694,1
La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,21,2003.0,3.6,134,110,131,3,0,0,134,0,0,0.0,0,0.0,69,383,239,0,0,0,0,0,46,0
La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,35,1989.0,3.0,237,12,37,151,49,6,236,5,2,40.0,1,20.0,116,431,196,2,4,0,3,2,169,5
La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996.0,16.5,1084,43,292,547,252,13,1084,14,7,50.0,7,50.0,432,1605,691,17,18,3,18,14,554,59
La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,24,2001.0,18.7,979,33,189,621,180,23,979,28,13,46.4,12,42.9,474,2280,1066,20,19,1,25,19,598,31
La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999.0,28.7,2080,147,900,1115,79,26,2080,17,10,58.8,6,35.3,1165,6559,4315,36,17,1,19,13,1322,6
La Liga,2425,Athletic Club,Endika Buján,ESP,FW,22,2003.0,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0
La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996.0,20.4,643,23,67,342,240,78,643,20,11,55.0,9,45.0,286,1120,375,8,12,2,48,20,415,64
La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994.0,29.3,1168,35,113,392,678,137,1168,101,33,32.7,56,55.4,738,4223,2249,106,39,48,65,44,897,302
La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,32,1993.0,8.6,520,32,157,258,107,4,520,14,6,42.9,8,57.1,245,1062,515,13,6,1,5,5,268,21
La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993.0,15.7,956,20,146,609,215,8,956,22,15,68.2,5,22.7,511,2565,1220,26,14,3,16,16,657,39
La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",26,1999.0,0.6,14,0,1,8,5,0,14,0,0,0.0,0,0.0,6,8,1,0,0,0,5,0,8,3
La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,24,2000.0,13.4,437,357,436,1,0,0,437,0,0,0.0,0,0.0,237,1238,682,0,0,0,1,0,211,0
La Liga,2425,Athletic Club,Maroan Sannadi,ESP,FW,24,2001.0,7.4,259,1,10,120,132,41,259,28,12,42.9,13,46.4,177,945,427,17,6,7,41,17,217,62
La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003.0,23.9,1386,43,269,829,298,11,1386,38,18,47.4,14,36.8,684,2873,1250,14,23,1,34,22,832,30
La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,32,1993.0,11.0,653,30,143,398,119,11,652,12,7,58.3,5,41.7,291,1242,591,10,13,3,11,9,400,22
La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002.0,21.3,1030,8,82,318,651,110,1030,175,63,36.0,97,55.4,676,5356,2846,113,56,56,59,44,748,250
La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,22,2003.0,1.2,68,1,7,19,42,4,68,9,3,33.3,6,66.7,27,163,65,2,1,1,1,3,44,18
La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,25,2000.0,17.7,759,9,61,375,340,68,756,50,24,48.0,21,42.0,460,2985,1662,52,39,8,56,45,604,114
La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",20,2005.0,2.9,140,3,14,63,64,3,140,11,5,45.5,5,45.5,74,472,221,6,4,2,4,3,86,11
La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003.0,13.6,422,19,60,205,164,20,422,29,12,41.4,12,41.4,224,1237,611,19,17,3,22,21,261,49
La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,28,1997.0,6.5,396,51,188,208,3,2,396,2,1,50.0,0,0.0,215,1069,541,2,0,0,6,0,235,0
La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997.0,20.0,677,497,671,7,0,0,677,0,0,0.0,0,0.0,382,1956,1096,0,0,0,1,1,316,0
La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,30,1995.0,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0
La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,35,1990.0,21.7,1594,70,437,868,301,15,1594,16,6,37.5,8,50.0,760,3704,2113,41,28,2,18,2,916,66
La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995.0,25.0,1220,17,94,454,694,82,1219,81,32,39.5,41,50.6,624,4213,1995,64,40,26,51,47,789,208
La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,25,1999.0,7.3,230,3,26,77,134,25,230,36,14,38.9,17,47.2,151,986,562,22,23,6,29,13,177,60
La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,36,1989.0,16.4,1123,35,293,559,277,15,1123,16,3,18.8,11,68.8,458,1915,988,26,22,2,10,7,604,72
La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004.0,0.1,2,0,0,0,2,2,2,0,0,0.0,0,0.0,1,4,0,0,0,0,0,0,1,1
La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995.0,17.1,590,29,58,273,267,112,589,37,14,37.8,22,59.5,315,1679,763,30,13,14,62,32,444,77
La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34,1991.0,26.8,1627,28,210,725,706,87,1625,34,15,44.1,18,52.9,927,3950,1991,45,54,5,41,20,1213,164
La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,36,1989.0,8.5,587,75,296,278,14,4,587,1,1,100.0,0,0.0,361,1927,1053,2,2,1,7,0,376,1
La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995.0,20.9,1497,212,785,660,56,16,1497,3,3,100.0,0,0.0,1001,5262,3268,13,15,0,7,3,1098,1
La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000.0,17.9,1043,35,224,547,283,38,1043,42,17,40.5,18,42.9,660,2728,1064,23,22,7,25,22,741,64
La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,35,1989.0,8.7,696,36,212,368,119,8,696,2,1,50.0,1,50.0,389,1749,1222,13,16,1,8,0,475,14
La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,22,2002.0,21.1,1017,20,170,407,456,86,1017,67,29,43.3,33,49.3,642,3515,1765,69,42,24,54,20,738,187
La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,32,1993.0,36.0,1005,934,1004,1,0,0,1005,2,2,100.0,0,0.0,540,2652,1581,0,0,0,1,0,356,0
La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,30,1994.0,19.8,1270,51,406,529,344,16,1270,78,28,35.9,38,48.7,739,3917,2315,52,34,6,22,15,779,107
La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,30,1995.0,22.2,1582,272,822,735,30,11,1582,3,2,66.7,1,33.3,1006,4430,2336,3,2,0,6,3,1094,1
La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,31,1994.0,1.0,30,29,30,0,0,0,30,0,0,0.0,0,0.0,13,50,34,0,0,0,0,0,9,0
La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000.0,26.9,1186,9,104,484,615,108,1182,63,34,54.0,26,41.3,743,4395,2081,75,50,27,61,39,854,155
La Liga,2425,Atlético Madrid,Koke,ESP,MF,33,1992.0,20.6,1752,50,440,1024,302,10,1752,21,9,42.9,11,52.4,1075,4570,2131,22,20,0,15,8,1276,16
La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995.0,26.9,1769,77,535,777,472,55,1769,30,14,46.7,13,43.3,1089,5393,3037,81,49,15,26,7,1190,150
La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,27,1998.0,17.0,1336,57,410,593,340,21,1336,30,15,50.0,13,43.3,764,3287,1918,34,26,4,21,2,866,93
La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003.0,25.7,1777,51,409,1000,378,29,1777,42,25,59.5,14,33.3,1114,5196,2315,29,35,6,49,23,1304,69
La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,DF,31,1994.0,10.5,717,56,290,326,103,8,717,18,4,22.2,9,50.0,421,1705,853,14,15,2,8,4,459,15
La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996.0,23.9,1523,193,805,677,44,19,1523,4,2,50.0,2,50.0,1001,4140,2052,11,7,0,14,6,1100,6
La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,31,1994.0,22.5,1866,27,298,1101,485,17,1866,33,12,36.4,15,45.5,1304,7275,4018,79,60,2,29,24,1473,61
La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",25,2000.0,5.7,354,6,41,136,185,23,354,24,6,25.0,16,66.7,246,1708,1001,43,25,10,11,6,259,62
La Liga,2425,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25,1999.0,16.5,985,19,192,405,401,68,985,53,26,49.1,24,45.3,638,3835,2190,69,48,23,28,17,729,170
La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,29,1995.0,0.9,78,0,8,33,37,1,78,3,0,0.0,2,66.7,55,207,54,1,4,0,1,1,62,4
La Liga,2425,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30,1995.0,8.7,408,4,53,125,236,80,408,38,13,34.2,24,63.2,268,1380,722,29,18,13,28,15,296,82
La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,21,2003.0,24.5,1651,37,292,804,582,46,1651,107,44,41.1,43,40.2,1034,6451,3377,104,65,16,43,26,1189,241
La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,29,1996.0,2.5,212,9,55,147,11,0,212,0,0,0.0,0,0.0,137,673,307,1,3,0,1,0,155,1
La Liga,2425,Barcelona,Ansu Fati,ESP,FW,22,2002.0,2.6,170,0,8,59,105,22,170,11,5,45.5,5,45.5,107,586,234,7,7,4,10,4,134,32
La Liga,2425,Barcelona,Dani Olmo,ESP,"MF,FW",27,1998.0,13.2,776,17,61,337,386,75,775,43,23,53.5,15,34.9,492,2384,1299,31,34,6,35,26,644,96
La Liga,2425,Barcelona,Daniel Rodriguez,ESP,FW,19,2005.0,0.4,25,0,0,2,23,3,25,1,0,0.0,0,0.0,20,154,110,4,0,2,3,0,23,9
La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",24,2001.0,16.4,1418,65,333,867,222,25,1418,11,5,45.5,4,36.4,784,3378,1841,18,12,1,15,5,1048,22
La Liga,2425,Barcelona,Fermin López,ESP,"MF,FW",22,2003.0,12.9,797,5,51,334,419,58,797,54,24,44.4,26,48.1,448,2297,1007,28,20,11,35,16,595,101
La Liga,2425,Barcelona,Ferrán Torres,ESP,"FW,MF",25,2000.0,12.3,498,3,30,153,317,81,498,21,11,52.4,8,38.1,291,1348,566,23,14,13,28,13,397,98
La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,28,1997.0,12.6,1216,14,131,817,271,13,1216,8,5,62.5,3,37.5,808,4638,2612,36,38,1,5,7,986,23
La Liga,2425,Barcelona,Gavi,ESP,"MF,FW",20,2004.0,11.1,835,9,75,527,238,34,835,16,7,43.8,5,31.3,483,2021,1024,13,16,1,18,9,621,41
La Liga,2425,Barcelona,Gerard Martín,ESP,DF,23,2002.0,11.4,905,28,199,384,326,19,905,11,4,36.4,7,63.6,410,1434,718,10,12,1,7,4,583,122
La Liga,2425,Barcelona,Héctor Fort,ESP,DF,18,2006.0,6.5,573,18,111,300,166,17,573,9,2,22.2,7,77.8,308,1255,679,14,15,2,4,4,397,33
La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,26,1999.0,14.5,624,435,608,16,0,0,624,0,0,0.0,0,0.0,371,1656,939,0,0,0,0,0,338,0
La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,34,1991.0,27.7,2652,146,875,1629,156,26,2652,3,3,100.0,0,0.0,1711,10196,7336,70,53,0,11,3,2003,11
La Liga,2425,Barcelona,Jules Koundé,FRA,DF,26,1998.0,28.9,2453,79,567,1194,706,79,2453,50,22,44.0,27,54.0,1287,4667,2501,44,42,7,41,13,1625,190
La Liga,2425,Barcelona,Lamine Yamal,ESP,FW,17,2007.0,30.7,2030,9,100,631,1339,223,2030,310,156,50.3,127,41.0,1435,9897,5179,179,92,94,98,47,1668,426
La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17,2007.0,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2
La Liga,2425,Barcelona,Marc Casado,ESP,MF,21,2003.0,17.9,1536,25,223,1040,276,9,1536,9,4,44.4,4,44.4,870,3523,1540,12,22,0,17,9,1172,24
La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,33,1992.0,7.5,262,186,260,2,0,0,262,0,0,0.0,0,0.0,158,755,562,0,0,0,0,0,154,0
La Liga,2425,Barcelona,Pablo Torre,ESP,"MF,FW",22,2003.0,3.4,254,5,27,120,109,10,254,6,2,33.3,3,50.0,130,503,205,5,7,0,5,6,190,20
La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,18,2007.0,28.1,2748,184,1009,1651,93,17,2748,8,6,75.0,2,25.0,1788,8840,4971,26,16,0,6,1,2157,6
La Liga,2425,Barcelona,Pau Victor Delgado,ESP,FW,23,2001.0,3.5,170,5,15,71,87,21,170,12,7,58.3,5,41.7,92,375,171,6,2,6,7,8,125,28
La Liga,2425,Barcelona,Pedri,ESP,MF,22,2002.0,31.1,2936,35,253,1745,969,49,2936,61,40,65.6,20,32.8,1909,10684,5259,92,102,8,47,33,2270,134
La Liga,2425,Barcelona,Raphinha,BRA,"FW,MF",28,1996.0,30.8,1828,30,112,641,1099,181,1826,103,52,50.5,44,42.7,999,5516,2807,93,64,46,52,29,1290,344
La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,36,1988.0,28.7,825,32,59,308,465,173,821,34,20,58.8,12,35.3,458,1749,570,26,11,14,74,45,650,160
La Liga,2425,Barcelona,Ronald Araújo,URU,DF,26,1999.0,7.7,712,28,188,495,32,9,712,1,0,0.0,1,100.0,451,2519,1528,6,4,0,2,1,527,3
La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,20,2005.0,1.9,191,13,69,121,3,0,191,0,0,0.0,0,0.0,127,569,284,0,1,0,0,0,157,1
La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,35,1990.0,15.0,492,370,482,10,0,0,492,1,1,100.0,0,0.0,286,1121,509,0,0,0,0,0,274,0
La Liga,2425,Betis,Abde Ezzalzouli,MAR,"FW,MF",23,2001.0,22.0,1081,10,120,407,585,151,1080,102,46,45.1,37,36.3,706,5210,3025,117,75,58,64,49,797,215
La Liga,2425,Betis,Adrián,ESP,GK,38,1987.0,19.0,658,568,657,1,0,0,658,0,0,0.0,0,0.0,390,1788,1161,0,0,0,1,0,299,0
La Liga,2425,Betis,Aitor Ruibal,ESP,"DF,FW",29,1996.0,14.6,791,45,231,322,248,33,791,27,14,51.9,13,48.1,398,1796,938,21,25,7,27,16,459,64
La Liga,2425,Betis,Antony,BRA,FW,25,2000.0,15.1,983,9,100,316,585,63,983,63,24,38.1,33,52.4,664,4591,2748,94,78,30,53,20,752,157
La Liga,2425,Betis,Assane Diao,SEN,FW,19,2005.0,3.1,122,4,12,42,68,19,122,11,2,18.2,9,81.8,63,372,145,9,3,3,15,2,81,27
La Liga,2425,Betis,Carlos Guirao,ESP,MF,22,2003.0,1.2,60,3,14,38,10,1,60,1,1,100.0,0,0.0,28,134,60,1,1,0,1,2,34,2
La Liga,2425,Betis,Cucho,COL,FW,26,1999.0,12.7,467,5,23,210,237,61,467,26,17,65.4,9,34.6,250,1318,507,27,9,14,46,14,318,82
La Liga,2425,Betis,Cédric Bakambu,COD,FW,34,1991.0,7.9,226,6,16,97,115,33,226,7,1,14.3,5,71.4,113,505,274,9,4,7,28,11,157,43
La Liga,2425,Betis,Diego Llorente,ESP,DF,31,1993.0,28.0,1915,235,1048,825,48,22,1915,9,6,66.7,2,22.2,1127,5465,3118,7,8,1,11,4,1243,3
La Liga,2425,Betis,Ezequiel Ávila,ARG,FW,31,1994.0,7.5,323,7,34,131,163,34,323,11,5,45.5,5,45.5,173,767,334,12,7,4,23,7,216,48
La Liga,2425,Betis,Fran Vieites,ESP,GK,26,1999.0,4.0,126,97,124,1,1,1,126,0,0,0.0,0,0.0,59,248,139,0,0,0,0,0,48,0
La Liga,2425,Betis,Giovani Lo Celso,ARG,"MF,FW",29,1996.0,16.2,1167,7,114,558,506,53,1164,55,21,38.2,27,49.1,702,3247,1450,26,31,9,38,31,832,66
La Liga,2425,Betis,Héctor Bellerín,ESP,DF,30,1995.0,6.4,384,25,122,190,73,11,384,8,6,75.0,2,25.0,212,729,344,3,4,0,6,1,242,22
La Liga,2425,Betis,Iker Losada,ESP,"MF,FW",23,2001.0,3.7,180,1,30,73,80,6,180,6,2,33.3,4,66.7,101,569,294,9,6,1,6,5,130,16
La Liga,2425,Betis,Isco,ESP,MF,33,1992.0,17.2,1381,9,96,663,638,68,1375,59,27,45.8,28,47.5,892,4666,2047,38,54,5,53,27,1059,112
La Liga,2425,Betis,Jesus Rodríguez,ESP,FW,19,2005.0,12.3,533,5,47,213,284,69,533,84,30,35.7,46,54.8,361,2861,1507,53,36,39,38,20,381,99
La Liga,2425,Betis,Johnny Cardoso,USA,MF,23,2001.0,23.8,1427,91,397,846,201,26,1427,42,26,61.9,15,35.7,752,3374,1557,19,16,1,36,23,890,28
La Liga,2425,Betis,Juanmi,ESP,"FW,MF",32,1993.0,2.7,109,3,23,46,41,14,109,8,4,50.0,3,37.5,62,307,101,4,1,2,7,4,74,18
La Liga,2425,Betis,Marc Bartra,ESP,DF,34,1991.0,23.3,1484,219,862,562,70,18,1484,15,7,46.7,8,53.3,804,3902,2534,7,15,1,12,5,903,1
La Liga,2425,Betis,Marc Roca,ESP,MF,28,1996.0,10.1,632,27,154,374,108,19,632,5,4,80.0,1,20.0,385,2069,1037,11,14,0,9,7,427,13
La Liga,2425,Betis,Mateo Flores,ESP,MF,21,2004.0,1.7,84,4,27,47,11,1,84,0,0,0.0,0,0.0,47,189,55,0,0,0,3,3,50,2
La Liga,2425,Betis,Nabil Fekir,FRA,MF,31,1993.0,2.0,107,0,3,52,53,6,107,5,0,0.0,4,80.0,72,479,259,9,4,2,4,6,85,18
La Liga,2425,Betis,Natan,BRA,DF,24,2001.0,24.2,1515,197,813,671,43,19,1515,3,2,66.7,0,0.0,930,4788,2750,12,5,0,15,8,995,6
La Liga,2425,Betis,Nobel Mendy,FRA,DF,20,2004.0,1.2,72,18,44,28,0,0,72,0,0,0.0,0,0.0,35,131,68,0,0,0,1,0,38,0
La Liga,2425,Betis,Pablo Fornals,ESP,"MF,FW",29,1996.0,20.3,1272,20,171,684,428,36,1272,28,8,28.6,20,71.4,777,3243,1525,32,34,7,24,16,911,85
La Liga,2425,Betis,Pablo Garcia,ESP,FW,18,2006.0,0.4,23,0,3,7,14,2,23,2,1,50.0,1,50.0,16,120,59,2,0,1,3,1,15,8
La Liga,2425,Betis,Ricardo Rodríguez,SUI,DF,32,1992.0,14.2,866,39,253,437,181,7,866,7,4,57.1,3,42.9,434,2005,1105,19,23,1,3,3,498,32
La Liga,2425,Betis,Rodri,ESP,FW,25,2000.0,1.3,86,3,22,32,33,6,86,6,2,33.3,4,66.7,57,401,183,4,3,3,5,2,63,11
La Liga,2425,Betis,Romain Perraud,FRA,DF,27,1997.0,22.2,1418,62,441,565,423,28,1418,35,11,31.4,18,51.4,766,3846,1882,51,25,10,33,14,842,106
La Liga,2425,Betis,Rui Silva,POR,GK,31,1994.0,15.0,553,412,552,1,0,0,553,0,0,0.0,0,0.0,334,1482,710,0,0,0,1,0,277,0
La Liga,2425,Betis,Sergi Altimira,ESP,MF,23,2001.0,21.9,1520,53,320,941,271,18,1520,24,16,66.7,7,29.2,907,3867,1634,25,14,1,27,21,1064,30
La Liga,2425,Betis,Sergio Arribas,ESP,DF,22,2003.0,1.0,71,5,24,43,4,0,71,0,0,0.0,0,0.0,33,128,75,0,0,0,0,0,35,4
La Liga,2425,Betis,Vitor Roque,BRA,FW,20,2005.0,13.7,365,3,27,167,179,57,365,39,10,25.6,25,64.1,213,1250,554,24,14,16,41,35,239,57
La Liga,2425,Betis,William Carvalho,POR,MF,33,1992.0,5.4,432,11,94,255,87,6,432,5,3,60.0,1,20.0,297,1224,592,5,9,0,6,7,344,11
La Liga,2425,Betis,Youssouf Sabaly,SEN,DF,32,1993.0,17.6,1170,43,351,591,236,26,1170,20,8,40.0,10,50.0,620,2245,1145,25,12,4,27,12,680,63
La Liga,2425,Betis,Ángel Ortíz,ESP,DF,20,2004.0,3.9,272,7,96,114,64,7,272,8,4,50.0,4,50.0,133,669,375,4,3,1,7,2,153,20
La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",26,1999.0,14.4,520,2,44,133,349,107,520,59,23,39.0,29,49.2,356,2681,1603,83,38,42,27,19,405,158
La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,25,1999.0,7.8,192,12,18,84,94,32,192,13,4,30.8,7,53.8,120,585,150,6,7,4,23,19,149,43
La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,32,1993.0,20.9,658,16,47,347,273,80,658,31,11,35.5,17,54.8,384,1520,502,21,12,12,61,32,493,105
La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995.0,25.2,1901,265,963,915,29,11,1901,1,1,100.0,0,0.0,1104,4606,2548,11,5,1,9,0,1337,1
La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001.0,12.1,1018,102,433,566,25,7,1018,3,2,66.7,1,33.3,632,3113,1888,15,12,0,5,0,726,4
La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003.0,10.3,876,15,127,589,162,4,876,2,0,0.0,2,100.0,529,2383,1230,8,8,0,4,6,680,12
La Liga,2425,Celta Vigo,Fer López,0,"FW,MF",nan,0.0,7.4,361,6,37,159,173,32,361,34,18,52.9,13,38.2,262,1674,846,26,19,7,33,20,295,57
La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,26,1999.0,25.9,1657,57,374,1048,241,14,1657,19,10,52.6,8,42.1,926,4433,2076,27,28,2,23,22,1168,28
La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994.0,3.0,160,4,37,78,45,1,160,2,1,50.0,1,50.0,82,404,173,3,2,0,3,2,95,21
La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,21,2003.0,13.9,1094,17,177,705,224,9,1094,19,8,42.1,8,42.1,656,3170,1326,21,18,2,11,12,859,38
La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003.0,17.5,1214,26,262,471,489,82,1214,72,32,44.4,38,52.8,726,3910,2266,74,38,41,33,12,817,171
La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",37,1987.0,18.5,985,4,71,488,438,63,979,23,12,52.2,8,34.8,697,3392,1547,49,37,15,34,18,833,135
La Liga,2425,Celta Vigo,Iker Losada,ESP,"FW,MF",23,2001.0,4.0,162,4,21,78,66,15,162,5,2,40.0,3,60.0,87,492,280,9,5,4,9,3,123,23
La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,22,2003.0,22.7,1251,33,207,718,343,39,1251,44,14,31.8,17,38.6,740,3499,1499,33,35,9,50,25,868,64
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997.0,4.0,130,118,128,2,0,0,130,0,0,0.0,0,0.0,60,269,172,0,0,0,0,0,49,0
La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29,1995.0,6.8,551,56,214,306,34,8,551,4,3,75.0,1,25.0,369,1861,1091,10,10,2,1,5,414,3
La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003.0,26.9,1888,120,682,1003,207,22,1888,21,9,42.9,9,42.9,1124,4861,2535,25,25,1,20,5,1328,50
La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,31,1994.0,5.7,413,20,161,222,31,1,413,1,0,0.0,1,100.0,248,1017,454,3,5,1,1,0,312,5
La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29,1996.0,9.0,468,7,74,235,170,21,468,38,15,39.5,19,50.0,307,1885,936,31,15,8,20,13,351,71
La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,29,1995.0,0.0,8,0,4,4,0,0,8,0,0,0.0,0,0.0,7,9,8,0,0,0,0,1,6,0
La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,27,1998.0,0.0,8,0,0,8,0,0,8,1,0,0.0,1,100.0,5,28,24,0,0,0,0,0,4,0
La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,34,1990.0,28.4,2581,208,996,1338,282,33,2578,24,15,62.5,8,33.3,1667,10125,6225,57,45,2,20,8,1826,46
La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29,1995.0,4.7,297,16,102,126,72,0,297,13,2,15.4,10,76.9,149,801,329,8,2,0,7,4,177,11
La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001.0,15.3,577,11,68,255,260,61,577,42,12,28.6,28,66.7,337,1576,641,24,14,13,42,20,398,123
La Liga,2425,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24,2000.0,17.4,995,34,264,387,352,48,995,28,12,42.9,13,46.4,541,2883,1349,35,21,15,15,14,628,131
La Liga,2425,Celta Vigo,Tadeo Allende,ARG,FW,26,1999.0,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987.0,33.0,1013,906,1007,6,0,0,1013,0,0,0.0,0,0.0,524,2558,1534,0,0,0,3,1,419,0
La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21,2004.0,14.8,555,6,53,219,289,70,555,44,10,22.7,29,65.9,349,2097,1031,34,21,18,49,16,408,115
