league,season,team,player,nation,position,age,born_year,90s,tackles,tackles_won,tackles_defensive_third,tackles_middle_third,tackles_offensive_third,dribblers_tackled,dribblers_tackled_attempted,perc_dribblers_tackled,dribblers_tackled_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors
Premier League,2425,Arsenal,Ben White,ENG,DF,27,1997.0,12.3,18,12,10,4,4,15,33,45.5,18,10,8,2,16,34,43,0
Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001.0,18.9,28,15,9,11,8,12,23,52.2,11,22,0,22,3,31,8,0
Premier League,2425,Arsenal,David Raya,ESP,GK,29,1995.0,37.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,20,9
Premier League,2425,Arsenal,Declan Rice,ENG,MF,26,1999.0,30.4,53,25,22,25,6,17,39,43.6,22,25,12,13,25,78,47,0
Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",18,2007.0,9.1,11,7,4,4,3,7,18,38.9,11,8,2,6,2,13,4,1
Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,28,1997.0,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0
Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,27,1997.0,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2
Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001.0,24.7,21,15,9,5,7,7,23,30.4,16,14,0,14,5,26,19,0
Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,25,2000.0,11.5,19,8,11,6,2,11,14,78.6,3,11,7,4,6,25,53,2
Premier League,2425,Arsenal,Jorginho,ITA,MF,33,1991.0,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2
Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001.0,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1
Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999.0,20.6,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997.0,2.2,6,5,4,1,1,4,6,66.7,2,0,0,0,2,8,5,0
Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,30,1994.0,28.0,30,20,6,15,9,12,34,35.3,22,32,0,32,9,39,18,0
Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,26,1998.0,25.7,19,11,9,7,3,4,24,16.7,20,5,0,5,6,25,6,1
Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996.0,16.6,43,26,7,24,12,18,33,54.5,15,18,5,13,15,58,25,2
Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,18,2006.0,15.0,22,14,10,9,3,10,11,90.9,1,3,1,2,7,29,25,0
Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,22,2003.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",28,1996.0,5.1,4,1,1,2,1,2,7,28.6,5,6,1,5,4,8,6,0
Premier League,2425,Arsenal,Raheem Sterling,ENG,"FW,MF",30,1994.0,4.9,8,4,1,2,5,4,8,50.0,4,3,0,3,1,9,3,0
Premier League,2425,Arsenal,Reiss Nelson,ENG,FW,25,1999.0,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
Premier League,2425,Arsenal,Riccardo Calafiori,ITA,DF,23,2002.0,10.9,27,19,15,10,2,18,29,62.1,11,12,6,6,9,36,25,0
Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,DF,26,1998.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Premier League,2425,Arsenal,Thomas Partey,GHA,"MF,DF",31,1993.0,30.1,87,53,26,38,23,45,74,60.8,29,28,8,20,35,122,47,4
Premier League,2425,Arsenal,William Saliba,FRA,DF,24,2001.0,33.8,62,37,37,23,2,21,28,75.0,7,25,15,10,21,83,119,7
Premier League,2425,Aston Villa,Amadou Onana,BEL,MF,23,2001.0,17.3,53,28,23,26,4,15,28,53.6,13,15,7,8,26,79,41,3
Premier League,2425,Aston Villa,Andrés García,ESP,"DF,MF",22,2003.0,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2
Premier League,2425,Aston Villa,Axel Disasi,FRA,DF,27,1998.0,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0
Premier League,2425,Aston Villa,Boubacar Kamara,FRA,MF,25,1999.0,18.3,50,21,28,18,4,29,56,51.8,27,18,7,11,19,69,50,3
Premier League,2425,Aston Villa,Diego Carlos,BRA,DF,32,1993.0,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2
Premier League,2425,Aston Villa,Donyell Malen,NED,FW,26,1999.0,3.3,7,4,3,3,1,1,4,25.0,3,2,0,2,0,7,1,0
Premier League,2425,Aston Villa,Emi Buendía,ARG,"MF,FW",28,1996.0,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0
Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,32,1992.0,35.0,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6
Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,27,1997.0,31.6,34,18,20,10,4,20,25,80.0,5,18,10,8,22,56,110,4
Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,23,2002.0,11.7,29,17,17,9,3,17,24,70.8,7,13,0,13,15,44,35,2
Premier League,2425,Aston Villa,Jacob Ramsey,ENG,"FW,MF",23,2001.0,17.7,30,15,14,10,6,10,20,50.0,10,23,4,19,8,38,8,1
Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",23,2002.0,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
Premier League,2425,Aston Villa,John McGinn,SCO,"MF,FW",30,1994.0,24.0,33,24,10,14,9,13,31,41.9,18,22,2,20,14,47,17,3
Premier League,2425,Aston Villa,Jáder Durán,COL,FW,21,2003.0,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19,2005.0,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",21,2004.0,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27,1997.0,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993.0,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29,1996.0,7.8,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27,1997.0,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
Premier League,2425,Aston Villa,Matty Cash,POL,DF,27,1997.0,22.0,52,30,27,21,4,27,39,69.2,12,21,8,13,22,74,65,2
Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002.0,33.7,41,22,15,14,12,23,46,50.0,23,26,7,19,5,46,20,2
Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29,1995.0,27.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28,1997.0,21.4,21,15,11,8,2,10,17,58.8,7,14,10,4,9,30,69,2
Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35,1990.0,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31,1993.0,6.4,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,32,1993.0,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,28,1997.0,33.3,83,57,31,44,8,40,73,54.8,33,37,16,21,22,105,47,4
Premier League,2425,Bournemouth,Adam Smith,ENG,DF,34,1991.0,16.7,22,10,11,5,6,12,25,48.0,13,13,5,8,14,36,48,1
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21,2003.0,8.4,27,14,11,8,8,19,42,45.2,23,17,4,13,10,37,15,0
Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,25,2000.0,34.6,54,34,17,24,13,16,42,38.1,26,66,9,57,11,65,39,2
Premier League,2425,Bournemouth,Ben Winterburn,ENG,"FW,MF",20,2004.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0
Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,23,2002.0,22.3,35,26,14,11,10,17,41,41.5,24,36,10,26,11,46,51,0
Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21,2003.0,1.0,3,2,2,1,0,3,5,60.0,2,2,1,1,1,4,1,0
Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997.0,10.0,12,5,2,7,3,1,14,7.1,13,18,2,16,5,17,9,1
Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20,2005.0,26.8,36,26,19,16,1,18,29,62.1,11,39,29,10,51,87,197,4
Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28,1997.0,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0
Premier League,2425,Bournemouth,Evanilson,BRA,FW,25,1999.0,24.8,16,10,6,5,5,8,12,66.7,4,11,2,9,1,17,21,0
Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22,2002.0,33.5,51,35,30,20,1,33,48,68.8,15,33,20,13,39,90,179,2
Premier League,2425,Bournemouth,James Hill,ENG,DF,23,2002.0,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0
Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23,2001.0,5.5,10,5,4,6,0,5,12,41.7,7,3,0,3,6,16,18,0
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20,2005.0,0.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26,1999.0,25.0,21,9,4,10,7,4,22,18.2,18,24,0,24,13,34,23,1
Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30,1994.0,30.0,1,0,1,0,0,0,2,0.0,2,2,0,2,0,1,15,3
Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28,1997.0,33.1,81,42,41,36,4,37,67,55.2,30,30,11,19,41,122,70,0
Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999.0,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0
Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28,1997.0,11.4,36,21,23,11,2,14,30,46.7,16,15,7,8,11,47,56,0
Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26,1999.0,20.6,43,24,15,19,9,10,26,38.5,16,16,3,13,5,48,11,0
Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26,1999.0,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0
Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25,2000.0,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0
Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21,2003.0,36.1,52,26,25,20,7,24,38,63.2,14,37,11,26,45,97,104,4
Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1
Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996.0,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19,2006.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30,1995.0,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3
Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26,1999.0,20.8,81,49,25,49,7,39,72,54.2,33,33,10,23,32,113,41,0
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005.0,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
Premier League,2425,Brentford,Ben Mee,ENG,DF,35,1989.0,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0
Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25,1999.0,36.9,45,29,17,14,14,18,32,56.3,14,24,3,21,14,59,53,1
Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31,1994.0,30.3,76,46,35,34,7,45,74,60.8,29,52,20,32,48,124,67,1
Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24,2001.0,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0
Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993.0,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4
Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22,2002.0,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27,1998.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19,2005.0,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0
Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23,2001.0,1.6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24,2001.0,33.4,46,26,25,15,6,28,46,60.9,18,27,10,17,19,65,73,3
Premier League,2425,Brentford,Kevin Schade,GER,FW,23,2001.0,24.6,36,23,14,10,12,12,21,57.1,9,19,4,15,5,41,33,0
Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20,2004.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27,1998.0,15.9,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0
Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999.0,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0
Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993.0,35.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4
Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29,1996.0,9.5,14,10,6,6,2,8,16,50.0,8,13,4,9,8,22,13,1
Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004.0,4.9,15,10,11,4,0,9,13,69.2,4,3,0,3,5,20,17,0
Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000.0,31.5,81,44,27,28,26,30,77,39.0,47,39,2,37,26,107,30,2
Premier League,2425,Brentford,Nathan Collins,IRL,DF,24,2001.0,37.0,39,23,23,12,4,22,35,62.9,13,76,56,20,34,73,221,3
Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997.0,1.1,2,2,1,0,1,0,4,0.0,4,4,1,3,1,3,2,0
Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22,2003.0,0.0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23,2001.0,27.7,38,23,24,10,4,18,27,66.7,9,51,37,14,21,59,127,3
Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23,2001.0,1.8,5,3,2,1,2,0,1,0.0,1,3,0,3,2,7,2,1
Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27,1998.0,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1
Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21,2004.0,15.1,45,26,18,20,7,27,51,52.9,24,25,8,17,13,58,33,0
Premier League,2425,Brentford,Yoane Wissa,COD,FW,28,1996.0,31.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,21,3
Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19,2006.0,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0
Premier League,2425,Brighton,Adam Webster,ENG,DF,30,1995.0,8.9,10,6,5,4,1,6,14,42.9,8,13,9,4,19,29,39,2
Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22,2002.0,35.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,29,5
Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23,2001.0,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20,2004.0,6.8,14,6,6,5,3,7,14,50.0,7,8,0,8,2,16,5,1
Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21,2004.0,28.6,76,43,26,34,16,47,78,60.3,31,46,11,35,44,120,44,1
Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34,1990.0,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
Premier League,2425,Brighton,Diego Gómez,PAR,MF,22,2003.0,5.2,20,12,11,7,2,12,22,54.5,10,13,0,13,8,28,10,1
Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23,2001.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20,2004.0,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25,1999.0,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23,2002.0,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
Premier League,2425,Brighton,Harry Howell,ENG,FW,16,2008.0,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
Premier League,2425,Brighton,Igor,BRA,DF,27,1998.0,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1
Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20,2005.0,19.5,26,18,8,10,8,11,27,40.7,16,8,3,5,16,42,37,1
Premier League,2425,Brighton,Jakub Moder,POL,MF,26,1999.0,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
Premier League,2425,Brighton,James Milner,ENG,MF,39,1986.0,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000.0,31.9,44,29,23,19,2,22,40,55.0,18,35,21,14,24,68,140,2
Premier League,2425,Brighton,Jason Steele,ENG,GK,34,1990.0,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",23,2001.0,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
Premier League,2425,Brighton,Joël Veltman,NED,DF,33,1992.0,18.5,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0
Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",21,2004.0,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",28,1997.0,28.4,44,26,15,13,16,19,48,39.6,29,48,3,45,13,57,10,0
Premier League,2425,Brighton,Lewis Dunk,ENG,DF,33,1991.0,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2
Premier League,2425,Brighton,Mats Wieffer,NED,"MF,DF",25,1999.0,10.3,52,28,26,22,4,29,42,69.0,13,16,2,14,15,67,25,3
Premier League,2425,Brighton,Matt O'Riley,DEN,MF,24,2000.0,10.3,16,9,4,8,4,4,13,30.8,9,7,3,4,13,29,9,1
Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,27,1998.0,26.7,65,43,33,25,7,34,51,66.7,17,20,5,15,37,102,65,2
Premier League,2425,Brighton,Simon Adingra,CIV,"FW,MF",23,2002.0,11.7,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2
Premier League,2425,Brighton,Solly March,ENG,"FW,MF",30,1994.0,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1
Premier League,2425,Brighton,Tariq Lamptey,GHA,DF,24,2000.0,9.6,17,11,8,9,0,9,25,36.0,16,15,7,8,7,24,23,1
Premier League,2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20,2004.0,19.4,48,35,25,13,10,17,45,37.8,28,21,0,21,11,59,31,0
Premier League,2425,Brighton,Yasin Ayari,SWE,MF,21,2003.0,21.3,58,32,15,31,12,25,55,45.5,30,24,6,18,20,78,25,0
Premier League,2425,Chelsea,Axel Disasi,FRA,DF,27,1998.0,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1
Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,24,2001.0,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2
Premier League,2425,Chelsea,Christopher Nkunku,FRA,FW,27,1997.0,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0
Premier League,2425,Chelsea,Cole Palmer,ENG,MF,23,2002.0,34.5,31,18,11,10,10,10,24,41.7,14,16,1,15,11,42,18,1
Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,24,2001.0,31.7,65,33,17,30,18,31,84,36.9,53,42,7,35,13,78,22,4
Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,23,2002.0,6.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3
Premier League,2425,Chelsea,Jadon Sancho,ENG,FW,25,2000.0,18.9,11,7,3,2,6,5,12,41.7,7,10,0,10,2,13,6,2
Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,19,2006.0,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0
Premier League,2425,Chelsea,João Félix,POR,"FW,MF",25,1999.0,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0
Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,"MF,FW",26,1998.0,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1
Premier League,2425,Chelsea,Levi Colwill,ENG,DF,22,2003.0,34.0,47,34,25,19,3,18,27,66.7,9,37,25,12,32,79,112,4
Premier League,2425,Chelsea,Malo Gusto,FRA,DF,22,2003.0,20.5,45,29,27,15,3,25,48,52.1,23,29,8,21,24,69,49,5
Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,1998.0,32.2,64,42,31,28,5,29,57,50.9,28,47,15,32,28,92,87,3
Premier League,2425,Chelsea,Marc Guiu,ESP,FW,19,2006.0,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,19,2006.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",23,2001.0,36.2,110,70,41,53,16,53,85,62.4,32,48,10,38,49,159,57,1
Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,FW,24,2001.0,1.7,2,2,2,0,0,0,0,0.0,0,3,1,2,0,2,1,0
Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,2001.0,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0
Premier League,2425,Chelsea,Noni Madueke,ENG,FW,23,2002.0,21.6,23,16,7,12,4,13,37,35.1,24,17,0,17,9,32,11,0
Premier League,2425,Chelsea,Pedro Neto,POR,FW,25,2000.0,24.4,23,9,9,9,5,9,21,42.9,12,14,2,12,9,32,6,0
Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",25,1999.0,10.8,9,9,5,3,1,3,9,33.3,6,12,4,8,13,22,21,4
Premier League,2425,Chelsea,Renato Veiga,POR,"DF,MF",21,2003.0,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0
Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,27,1997.0,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,23,9
Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,21,2004.0,8.5,22,13,5,13,4,10,21,47.6,11,6,0,6,16,38,10,1
Premier League,2425,Chelsea,Shumaira Mheuka,ENG,MF,17,2007.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,27,1997.0,14.7,17,13,11,6,0,8,12,66.7,4,9,7,2,10,27,68,0
Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,1999.0,10.1,11,7,5,6,0,7,8,87.5,1,6,3,3,10,21,48,1
Premier League,2425,Chelsea,Tyrique George,ENG,FW,19,2006.0,2.0,2,0,2,0,0,2,3,66.7,1,1,0,1,2,4,1,0
Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,24,2000.0,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2
Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,2004.0,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0
Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,19,2005.0,0.1,2,1,0,2,0,0,0,0.0,0,0,0,0,0,2,0,0
Premier League,2425,Crystal Palace,Ben Chilwell,ENG,DF,28,1996.0,2.9,7,6,4,3,0,1,5,20.0,4,6,2,4,6,13,16,0
Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,2006.0,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0
Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,2003.0,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0
Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,25,2000.0,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1
Premier League,2425,Crystal Palace,Chris Richards,USA,DF,25,2000.0,20.4,46,29,23,17,6,23,40,57.5,17,39,14,25,19,65,110,0
Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,28,1996.0,16.4,46,28,19,23,4,14,40,35.0,26,22,5,17,16,62,14,0
Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996.0,34.9,120,79,56,40,24,54,94,57.4,40,39,5,34,42,162,105,1
Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,28,1997.0,37.0,2,1,2,0,0,2,6,33.3,4,0,0,0,0,2,22,0
Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998.0,28.1,39,22,14,16,9,17,36,47.2,19,27,0,27,11,50,9,3
