league,season,team,player,nation,position,age,born_year,90s,goals_against,penalty_allowed,goals_freekicks,goals_cornerkicks,own_goals,xG_post_shoot,xG_post_shoot_over_shoot_on_target,difference_xG_post_shoot_goals_against,difference_xG_post_shoot_goals_against_90s,passes_over_45m_completed,passes_over_45m_attempted,perc_passes_over_45m,passes_attempted,throws_attempted,Passes_Launch%,passes_avg_length,goal_kicks_attempted,perc_goal_kicks,goal_kicks_avg_length,opponent_crosses_attempted,opponent_crosses_stopped,perc_crosses_stopped,defensive_actions_outside_area,defensive_actions_outside_area_90s,avg_distance_goal_defensive_actions
Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,28,1996,13.0,30,1,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,329,55,36.8,33.9,94,69.1,50.8,249,20,8.0,13,1.0,11.5
Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,26,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2
Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,29,1995,6.0,16,2,0,0,0,15.0,0.41,-1.0,-0.17,38,108,35.2,176,27,45.5,35.2,50,56.0,43.8,105,11,10.5,1,0.17,7.6
Premier League,2425,Leicester City,Danny Ward,WAL,GK,31,1993,1.5,6,0,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,46,9,37.0,32.0,7,71.4,52.0,11,0,0.0,2,1.33,20.7
Premier League,2425,Leicester City,Jakub Stolarczyk,POL,GK,24,2000,9.0,14,0,0,1,0,13.3,0.36,-0.7,-0.07,53,165,32.1,288,34,44.4,33.2,51,72.5,50.1,155,9,5.8,8,0.89,12.7
Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24,2000,26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1
Premier League,2425,Liverpool,Alisson,BRA,GK,32,1992,26.9,28,1,0,2,2,28.2,0.29,2.2,0.08,66,198,33.3,841,118,20.2,26.7,75,37.3,33.5,250,11,4.4,46,1.71,15.8
Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,26,1998,10.0,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,18,61.1,42.8,113,6,5.3,9,0.9,14.0
Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.0,11.0
Premier League,2425,Manchester City,Ederson,BRA,GK,31,1993,24.8,26,2,0,3,1,28.7,0.37,3.7,0.15,69,159,43.4,811,99,17.5,27.9,73,23.3,32.0,217,13,6.0,45,1.82,17.5
Premier League,2425,Manchester City,Stefan Ortega,GER,GK,32,1992,12.2,18,2,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,409,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3
Premier League,2425,Manchester Utd,Altay Bayındır,TUR,GK,27,1998,3.0,10,0,0,0,1,10.0,0.63,1.0,0.34,10,52,19.2,111,10,36.0,35.0,18,66.7,48.7,48,4,8.3,7,2.33,12.7
Premier League,2425,Manchester Utd,André Onana,CMR,GK,29,1996,34.0,44,3,1,10,1,44.0,0.31,1.0,0.03,118,440,26.8,1152,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8
Premier League,2425,Newcastle Utd,Martin Dúbravka,SVK,GK,36,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3
Premier League,2425,Newcastle Utd,Nick Pope,ENG,GK,33,1992,27.0,34,1,0,3,2,33.7,0.28,1.7,0.06,71,252,28.2,575,183,26.3,30.8,177,57.1,44.3,351,38,10.8,61,2.26,15.9
Premier League,2425,Nott'ham Forest,Matz Sels,BEL,GK,33,1992,37.0,45,3,1,4,0,48.0,0.29,3.0,0.08,241,686,35.1,682,79,69.9,45.3,268,78.0,54.6,701,19,2.7,8,0.22,7.9
Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,27,1998,29.0,64,5,0,9,0,62.2,0.32,-1.8,-0.06,189,581,32.5,997,129,43.8,35.7,187,77.0,55.6,433,24,5.5,19,0.66,11.7
Premier League,2425,Southampton,Alex McCarthy,ENG,GK,35,1989,5.0,13,2,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,132,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0.0,6.5
Premier League,2425,Southampton,Joe Lumley,ENG,GK,30,1995,3.0,7,0,0,1,0,7.7,0.39,0.7,0.22,15,50,30.0,135,14,34.1,30.0,15,26.7,24.0,56,2,3.6,7,2.33,18.0
Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,22,2003,6.0,11,0,0,1,2,10.1,0.32,1.1,0.18,17,58,29.3,186,37,26.9,30.9,30,26.7,29.1,110,10,9.1,9,1.5,12.1
Premier League,2425,Tottenham,Brandon Austin,ENG,GK,26,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.0,12.4
Premier League,2425,Tottenham,Fraser Forster,ENG,GK,37,1988,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1
Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28,1996,23.0,33,0,0,4,2,33.3,0.36,2.3,0.1,25,89,28.1,778,117,10.2,22.6,63,15.9,23.1,286,29,10.1,31,1.35,13.4
Premier League,2425,West Ham,Alphonse Areola,FRA,GK,32,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15.0
Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,40,1985,11.9,20,3,1,3,0,22.3,0.3,2.3,0.19,69,205,33.7,359,52,41.5,35.4,94,59.6,44.4,198,7,3.5,11,0.93,13.7
Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,13,61.5,46.4,25,0,0.0,3,1.5,16.4
Premier League,2425,Wolves,José Sá,POR,GK,32,1993,28.0,47,5,1,6,2,40.9,0.34,-4.1,-0.15,90,366,24.6,736,111,39.1,35.2,148,52.7,41.5,422,30,7.1,43,1.54,15.7
