league,season,team,player,nation,position,age,born_year,90s,shot_creating_actions,shot_creating_actions_90s,play_passes_to_shot,fk_passes_to_shot,take_ons_to_shot,shot_to_shot,fouls_drawn_to_shot,defensive_actions_to_shot,goal_creating_actions,goal_creating_actions_90s,play_passes_to_goal,fk_passes_to_goal,take_ons_to_goal,shot_to_goal,fouls_drawn_to_goal,defensive_actions_to_goal
La Liga,2425,Alavés,Facundo Garcés,ARG,DF,25,1999.0,6.5,3,0.46,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Hugo Novoa,ESP,"DF,MF",22,2003.0,2.6,6,2.28,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Jesús Owono,EQG,GK,24,2001.0,5.4,1,0.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994.0,15.7,55,3.5,32,20,0,1,2,0,3,0.19,2,1,0,0,0,0
La Liga,2425,Alavés,Jon Guridi,ESP,"MF,FW",30,1995.0,22.4,46,2.05,33,3,3,4,1,2,8,0.36,5,0,2,1,0,0
La Liga,2425,Alavés,Kiké,ESP,FW,35,1989.0,27.6,37,1.34,29,0,0,2,6,0,4,0.15,3,0,0,0,1,0
La Liga,2425,Alavés,Luis Rioja,ESP,FW,31,1993.0,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Luka Romero,ARG,"FW,MF",20,2004.0,2.2,8,3.62,4,1,1,0,1,1,1,0.45,1,0,0,0,0,0
La Liga,2425,Alavés,Manu Sánchez,ESP,DF,24,2000.0,28.3,38,1.34,26,5,0,5,2,0,3,0.11,2,0,0,1,0,0
La Liga,2425,Alavés,Moussa Diarra,MLI,DF,24,2000.0,20.7,18,0.87,14,0,0,0,4,0,4,0.19,2,0,0,0,2,0
La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,29,1996.0,31.5,50,1.59,28,10,2,2,7,1,3,0.1,1,0,0,0,2,0
La Liga,2425,Alavés,Pau Cabanes,ESP,"MF,FW",20,2005.0,2.1,6,2.87,4,0,1,0,1,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Pica,ESP,DF,23,2002.0,5.4,2,0.37,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Santiago Mouriño,URU,DF,23,2002.0,20.5,11,0.54,8,1,0,0,2,0,2,0.1,1,0,0,0,1,0
La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",31,1993.0,7.8,28,3.6,17,0,2,3,4,2,2,0.26,1,0,0,1,0,0
La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",27,1998.0,9.1,13,1.43,12,0,0,1,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Alavés,Toni Martínez,ESP,"FW,MF",27,1997.0,10.9,26,2.38,16,0,4,2,2,2,1,0.09,0,0,0,1,0,0
La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002.0,12.2,16,1.31,12,1,1,1,1,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Adu Ares,ESP,FW,23,2001.0,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,19,2005.0,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,25,2000.0,19.1,8,0.42,8,0,0,0,0,0,1,0.05,1,0,0,0,0,0
La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,21,2003.0,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,35,1989.0,3.0,11,3.64,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996.0,16.5,32,1.94,29,2,1,0,0,0,2,0.12,2,0,0,0,0,0
La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,24,2001.0,18.7,21,1.12,20,0,0,1,0,0,3,0.16,3,0,0,0,0,0
La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999.0,28.7,34,1.19,32,0,1,0,0,1,1,0.03,1,0,0,0,0,0
La Liga,2425,Athletic Club,Endika Buján,ESP,FW,22,2003.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996.0,20.4,29,1.42,23,1,0,4,0,1,1,0.05,1,0,0,0,0,0
La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994.0,29.3,80,2.73,61,1,6,7,3,2,14,0.48,10,0,3,1,0,0
La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,32,1993.0,8.6,16,1.87,11,3,0,1,0,1,1,0.12,0,0,0,1,0,0
La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993.0,15.7,49,3.11,42,4,2,1,0,0,6,0.38,4,2,0,0,0,0
La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",26,1999.0,0.6,1,1.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,24,2000.0,13.4,3,0.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Maroan Sannadi,ESP,FW,24,2001.0,7.4,15,2.03,8,0,3,2,2,0,2,0.27,1,0,0,0,1,0
La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003.0,23.9,70,2.92,52,6,1,4,3,4,9,0.38,7,0,0,0,2,0
La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,32,1993.0,11.0,21,1.91,19,0,0,2,0,0,1,0.09,0,0,0,1,0,0
La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002.0,21.3,109,5.12,64,13,21,3,5,3,13,0.61,9,2,1,0,1,0
La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,22,2003.0,1.2,2,1.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,25,2000.0,17.7,50,2.82,38,0,4,5,3,0,8,0.45,4,0,1,3,0,0
La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",20,2005.0,2.9,10,3.47,5,4,0,0,0,1,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003.0,13.6,23,1.69,15,4,1,2,1,0,3,0.22,2,0,0,1,0,0
La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,28,1997.0,6.5,2,0.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997.0,20.0,5,0.25,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,30,1995.0,19.8,18,0.91,15,0,0,0,0,3,2,0.1,2,0,0,0,0,0
La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,35,1990.0,21.7,39,1.8,32,3,0,1,1,2,2,0.09,2,0,0,0,0,0
La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995.0,25.0,94,3.76,61,18,9,2,2,2,14,0.56,6,4,2,1,1,0
La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,25,1999.0,7.3,12,1.64,5,0,1,1,5,0,1,0.14,0,0,0,0,1,0
La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,36,1989.0,16.4,45,2.74,41,3,0,0,1,0,8,0.49,8,0,0,0,0,0
La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995.0,17.1,29,1.7,18,0,4,5,2,0,5,0.29,2,0,2,1,0,0
La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34,1991.0,26.8,91,3.4,67,15,0,6,2,1,13,0.49,12,0,0,1,0,0
La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,36,1989.0,8.5,3,0.35,2,0,1,0,0,0,2,0.24,1,0,1,0,0,0
La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995.0,20.9,16,0.77,15,0,1,0,0,0,2,0.1,2,0,0,0,0,0
La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000.0,17.9,30,1.67,23,0,4,0,3,0,6,0.33,4,0,1,0,1,0
La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,35,1989.0,8.7,7,0.8,4,2,0,0,0,1,1,0.11,1,0,0,0,0,0
La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,22,2002.0,21.1,48,2.28,39,0,4,2,3,0,9,0.43,7,0,1,0,1,0
La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,32,1993.0,36.0,6,0.17,4,2,0,0,0,0,1,0.03,1,0,0,0,0,0
La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,30,1994.0,19.8,33,1.66,30,1,1,0,1,0,6,0.3,6,0,0,0,0,0
La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,30,1995.0,22.2,7,0.32,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0
La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,31,1994.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,25,2000.0,26.9,101,3.76,72,8,9,8,1,3,12,0.45,8,1,0,2,0,1
La Liga,2425,Atlético Madrid,Koke,ESP,MF,33,1992.0,20.6,47,2.28,44,2,0,0,0,1,5,0.24,5,0,0,0,0,0
La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",30,1995.0,26.9,53,1.97,48,2,1,1,1,0,12,0.45,11,0,0,0,1,0
La Liga,2425,Atlético Madrid,Nahuel Molina,ARG,DF,27,1998.0,17.0,44,2.59,32,6,3,1,0,2,5,0.29,5,0,0,0,0,0
La Liga,2425,Atlético Madrid,Pablo Barrios,ESP,MF,21,2003.0,25.7,66,2.56,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0
La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,DF,31,1994.0,10.5,7,0.67,6,0,0,0,0,1,1,0.1,0,0,0,0,0,1
La Liga,2425,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996.0,23.9,7,0.29,4,0,0,3,0,0,1,0.04,0,0,0,1,0,0
La Liga,2425,Atlético Madrid,Rodrigo De Paul,ARG,MF,31,1994.0,22.5,83,3.68,74,4,0,2,2,1,12,0.53,11,0,0,0,1,0
La Liga,2425,Atlético Madrid,Rodrigo Riquelme,ESP,"MF,DF",25,2000.0,5.7,29,5.05,27,1,1,0,0,0,1,0.17,1,0,0,0,0,0
La Liga,2425,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25,1999.0,16.5,49,2.97,39,0,3,4,3,0,6,0.36,4,0,0,1,1,0
La Liga,2425,Atlético Madrid,Thomas Lemar,FRA,MF,29,1995.0,0.9,4,4.24,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30,1995.0,8.7,32,3.68,18,1,4,4,3,2,4,0.46,2,0,2,0,0,0
La Liga,2425,Barcelona,Alejandro Balde,ESP,DF,21,2003.0,24.5,74,3.02,58,3,3,3,7,0,12,0.49,10,0,0,0,2,0
La Liga,2425,Barcelona,Andreas Christensen,DEN,DF,29,1996.0,2.5,1,0.4,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Ansu Fati,ESP,FW,22,2002.0,2.6,11,4.25,9,0,0,2,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Dani Olmo,ESP,"MF,FW",27,1998.0,13.2,62,4.7,44,1,7,5,4,1,11,0.83,3,1,3,1,3,0
La Liga,2425,Barcelona,Daniel Rodriguez,ESP,FW,19,2005.0,0.4,2,4.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Eric García,ESP,"DF,MF",24,2001.0,16.4,30,1.83,27,0,0,3,0,0,6,0.37,5,0,0,1,0,0
La Liga,2425,Barcelona,Fermin López,ESP,"MF,FW",22,2003.0,12.9,52,4.03,34,5,6,4,1,2,6,0.47,6,0,0,0,0,0
La Liga,2425,Barcelona,Ferrán Torres,ESP,"FW,MF",25,2000.0,12.3,38,3.09,26,2,4,2,3,1,7,0.57,6,0,1,0,0,0
La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,28,1997.0,12.6,43,3.42,39,0,2,1,0,1,11,0.87,9,0,2,0,0,0
La Liga,2425,Barcelona,Gavi,ESP,"MF,FW",20,2004.0,11.1,39,3.53,37,0,1,1,0,0,4,0.36,4,0,0,0,0,0
La Liga,2425,Barcelona,Gerard Martín,ESP,DF,23,2002.0,11.4,27,2.37,26,0,0,0,1,0,3,0.26,3,0,0,0,0,0
La Liga,2425,Barcelona,Héctor Fort,ESP,DF,18,2006.0,6.5,16,2.46,15,1,0,0,0,0,1,0.15,1,0,0,0,0,0
La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,26,1999.0,14.5,1,0.07,1,0,0,0,0,0,1,0.07,1,0,0,0,0,0
La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,34,1991.0,27.7,45,1.63,38,1,1,3,2,0,9,0.33,6,1,1,0,1,0
La Liga,2425,Barcelona,Jules Koundé,FRA,DF,26,1998.0,28.9,59,2.04,55,0,2,2,0,0,7,0.24,6,0,0,1,0,0
La Liga,2425,Barcelona,Lamine Yamal,ESP,FW,17,2007.0,30.7,184,5.99,112,3,37,18,11,3,29,0.94,20,0,5,2,2,0
La Liga,2425,Barcelona,Marc Bernal,ESP,MF,17,2007.0,2.7,1,0.37,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Marc Casado,ESP,MF,21,2003.0,17.9,45,2.51,40,0,0,1,2,2,6,0.34,6,0,0,0,0,0
La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,33,1992.0,7.5,1,0.13,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Pablo Torre,ESP,"MF,FW",22,2003.0,3.4,18,5.24,14,2,0,0,1,1,3,0.87,3,0,0,0,0,0
La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,18,2007.0,28.1,35,1.25,34,0,0,1,0,0,6,0.21,5,0,0,1,0,0
La Liga,2425,Barcelona,Pau Victor Delgado,ESP,FW,23,2001.0,3.5,13,3.67,11,0,1,0,1,0,2,0.56,1,0,0,0,1,0
La Liga,2425,Barcelona,Pedri,ESP,MF,22,2002.0,31.1,164,5.27,148,7,2,2,4,1,16,0.51,15,0,1,0,0,0
La Liga,2425,Barcelona,Raphinha,BRA,"FW,MF",28,1996.0,30.8,161,5.22,99,31,8,12,10,1,22,0.71,11,2,4,2,2,1
La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,36,1988.0,28.7,49,1.71,33,0,4,7,5,0,3,0.1,2,0,0,1,0,0
La Liga,2425,Barcelona,Ronald Araújo,URU,DF,26,1999.0,7.7,11,1.43,10,0,0,1,0,0,1,0.13,0,0,0,1,0,0
La Liga,2425,Barcelona,Sergi Dominguez,ESP,DF,20,2005.0,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,35,1990.0,15.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Abde Ezzalzouli,MAR,"FW,MF",23,2001.0,22.0,66,2.99,43,0,10,8,4,1,7,0.32,4,0,0,2,1,0
La Liga,2425,Betis,Adrián,ESP,GK,38,1987.0,19.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Aitor Ruibal,ESP,"DF,FW",29,1996.0,14.6,36,2.46,31,2,1,1,1,0,4,0.27,4,0,0,0,0,0
La Liga,2425,Betis,Antony,BRA,FW,25,2000.0,15.1,77,5.09,61,4,5,4,3,0,9,0.6,6,0,1,2,0,0
La Liga,2425,Betis,Assane Diao,SEN,FW,19,2005.0,3.1,7,2.28,6,0,0,1,0,0,2,0.65,2,0,0,0,0,0
La Liga,2425,Betis,Carlos Guirao,ESP,MF,22,2003.0,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Cucho,COL,FW,26,1999.0,12.7,46,3.64,32,0,5,5,3,1,8,0.63,5,0,1,0,2,0
La Liga,2425,Betis,Cédric Bakambu,COD,FW,34,1991.0,7.9,11,1.39,9,0,0,1,1,0,3,0.38,2,0,0,0,1,0
La Liga,2425,Betis,Diego Llorente,ESP,DF,31,1993.0,28.0,15,0.54,12,0,0,1,1,1,2,0.07,1,0,0,0,0,1
La Liga,2425,Betis,Ezequiel Ávila,ARG,FW,31,1994.0,7.5,31,4.12,24,0,1,2,4,0,3,0.4,3,0,0,0,0,0
La Liga,2425,Betis,Fran Vieites,ESP,GK,26,1999.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Giovani Lo Celso,ARG,"MF,FW",29,1996.0,16.2,93,5.74,67,19,3,0,4,0,9,0.56,6,1,2,0,0,0
La Liga,2425,Betis,Héctor Bellerín,ESP,DF,30,1995.0,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0
La Liga,2425,Betis,Iker Losada,ESP,"MF,FW",23,2001.0,3.7,8,2.14,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Isco,ESP,MF,33,1992.0,17.2,111,6.46,75,24,3,4,3,2,14,0.81,10,4,0,0,0,0
La Liga,2425,Betis,Jesus Rodríguez,ESP,FW,19,2005.0,12.3,34,2.75,17,0,8,2,7,0,5,0.41,3,0,0,1,1,0
La Liga,2425,Betis,Johnny Cardoso,USA,MF,23,2001.0,23.8,35,1.47,29,0,5,0,0,1,1,0.04,1,0,0,0,0,0
La Liga,2425,Betis,Juanmi,ESP,"FW,MF",32,1993.0,2.7,5,1.84,3,0,1,0,1,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Marc Bartra,ESP,DF,34,1991.0,23.3,13,0.56,10,0,1,2,0,0,3,0.13,1,0,0,2,0,0
La Liga,2425,Betis,Marc Roca,ESP,MF,28,1996.0,10.1,24,2.38,19,1,2,1,0,1,1,0.1,1,0,0,0,0,0
La Liga,2425,Betis,Mateo Flores,ESP,MF,21,2004.0,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Nabil Fekir,FRA,MF,31,1993.0,2.0,12,6.0,9,2,0,0,0,1,1,0.5,0,1,0,0,0,0
La Liga,2425,Betis,Natan,BRA,DF,24,2001.0,24.2,11,0.46,9,0,0,0,1,1,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Nobel Mendy,FRA,DF,20,2004.0,1.2,1,0.83,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Pablo Fornals,ESP,"MF,FW",29,1996.0,20.3,88,4.33,78,5,2,3,0,0,9,0.44,9,0,0,0,0,0
La Liga,2425,Betis,Pablo Garcia,ESP,FW,18,2006.0,0.4,2,4.62,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Ricardo Rodríguez,SUI,DF,32,1992.0,14.2,27,1.91,23,1,0,2,0,1,2,0.14,2,0,0,0,0,0
La Liga,2425,Betis,Rodri,ESP,FW,25,2000.0,1.3,11,8.39,7,2,0,1,0,1,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Romain Perraud,FRA,DF,27,1997.0,22.2,36,1.62,32,1,1,2,0,0,5,0.22,4,0,0,1,0,0
La Liga,2425,Betis,Rui Silva,POR,GK,31,1994.0,15.0,5,0.33,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Sergi Altimira,ESP,MF,23,2001.0,21.9,53,2.42,40,1,3,2,1,6,1,0.05,1,0,0,0,0,0
La Liga,2425,Betis,Sergio Arribas,ESP,DF,22,2003.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Vitor Roque,BRA,FW,20,2005.0,13.7,34,2.48,19,0,5,5,5,0,4,0.29,0,0,0,1,3,0
La Liga,2425,Betis,William Carvalho,POR,MF,33,1992.0,5.4,14,2.6,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Betis,Youssouf Sabaly,SEN,DF,32,1993.0,17.6,19,1.08,17,1,1,0,0,0,3,0.17,3,0,0,0,0,0
La Liga,2425,Betis,Ángel Ortíz,ESP,DF,20,2004.0,3.9,6,1.53,5,0,0,0,1,0,2,0.51,2,0,0,0,0,0
La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",26,1999.0,14.4,56,3.88,29,0,12,9,6,0,6,0.42,3,0,0,2,1,0
La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,25,1999.0,7.8,11,1.41,5,0,2,1,3,0,1,0.13,1,0,0,0,0,0
La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,32,1993.0,20.9,35,1.67,24,1,0,5,5,0,7,0.33,3,0,0,1,3,0
La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995.0,25.2,18,0.71,16,0,0,1,0,1,1,0.04,1,0,0,0,0,0
La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001.0,12.1,5,0.41,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003.0,10.3,26,2.52,17,9,0,0,0,0,2,0.19,2,0,0,0,0,0
La Liga,2425,Celta Vigo,Fer López,0,"FW,MF",nan,0.0,7.4,30,4.06,23,0,3,2,1,1,3,0.41,2,0,0,1,0,0
La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,26,1999.0,25.9,41,1.58,36,0,1,4,0,0,3,0.12,3,0,0,0,0,0
La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994.0,3.0,5,1.65,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,21,2003.0,13.9,40,2.87,27,12,0,0,0,1,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003.0,17.5,46,2.63,38,0,5,3,0,0,9,0.52,7,0,2,0,0,0
La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",37,1987.0,18.5,69,3.74,61,1,2,3,2,0,12,0.65,10,0,0,1,1,0
La Liga,2425,Celta Vigo,Iker Losada,ESP,"FW,MF",23,2001.0,4.0,8,2.02,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,22,2003.0,22.7,55,2.42,40,0,2,5,4,4,5,0.22,3,0,0,1,1,0
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29,1995.0,6.8,8,1.17,5,0,0,1,0,2,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003.0,26.9,33,1.23,27,0,2,1,3,0,3,0.11,3,0,0,0,0,0
La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,31,1994.0,5.7,1,0.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29,1996.0,9.0,28,3.11,24,0,2,2,0,0,4,0.44,4,0,0,0,0,0
La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,29,1995.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,27,1998.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,34,1990.0,28.4,40,1.41,34,2,0,3,0,1,6,0.21,6,0,0,0,0,0
La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29,1995.0,4.7,9,1.92,5,3,0,1,0,0,1,0.21,1,0,0,0,0,0
La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001.0,15.3,29,1.9,22,0,2,4,1,0,4,0.26,3,0,0,1,0,0
La Liga,2425,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24,2000.0,17.4,35,2.01,31,1,3,0,0,0,4,0.23,4,0,0,0,0,0
La Liga,2425,Celta Vigo,Tadeo Allende,ARG,FW,26,1999.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987.0,33.0,3,0.09,1,2,0,0,0,0,1,0.03,1,0,0,0,0,0
La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21,2004.0,14.8,35,2.37,23,0,3,8,1,0,7,0.47,5,0,1,1,0,0
La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,21,2004.0,6.5,2,0.31,2,0,0,0,0,0,1,0.15,1,0,0,0,0,0
La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",26,1999.0,29.4,92,3.13,72,9,2,4,3,2,14,0.48,10,1,2,0,1,0
La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,21,2003.0,12.1,12,0.97,6,0,0,2,4,0,2,0.16,1,0,0,0,1,0
La Liga,2425,Espanyol,Alex Král,CZE,MF,27,1998.0,29.8,42,1.41,31,1,2,2,4,2,1,0.03,1,0,0,0,0,0
La Liga,2425,Espanyol,Antoniu,ESP,"FW,MF",22,2002.0,11.4,24,2.11,11,0,6,0,5,2,1,0.09,1,0,0,0,0,0
La Liga,2425,Espanyol,Brian Oliván,ESP,DF,31,1994.0,11.3,24,2.09,16,8,0,0,0,0,1,0.09,0,1,0,0,0,0
La Liga,2425,Espanyol,Carlos Romero,ESP,DF,23,2001.0,27.4,61,2.23,41,12,6,1,1,0,4,0.15,2,1,0,0,1,0
La Liga,2425,Espanyol,Edu Expósito,ESP,MF,28,1996.0,11.0,43,3.92,21,15,2,2,3,0,2,0.18,0,2,0,0,0,0
La Liga,2425,Espanyol,Fernando Calero,ESP,"DF,MF",29,1995.0,6.9,6,0.86,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0
La Liga,2425,Espanyol,Irvin Cardona,FRA,"FW,MF",27,1997.0,6.7,20,2.97,16,1,0,2,1,0,3,0.45,2,0,0,1,0,0
La Liga,2425,Espanyol,Javi Puado,ESP,"FW,MF",26,1998.0,32.0,54,1.69,43,0,2,5,4,0,6,0.19,5,0,0,0,1,0
La Liga,2425,Espanyol,Joan García,ESP,GK,24,2001.0,37.0,9,0.24,5,4,0,0,0,0,1,0.03,0,1,0,0,0,0
La Liga,2425,Espanyol,Jofre,ESP,"MF,FW",23,2001.0,23.5,54,2.3,36,0,6,5,7,0,5,0.21,4,0,0,0,1,0
