league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Southampton,Jay Robinson,ENG,"FW,MF",18,2007.0,0.7,0,0,0,2,1,0,0,0,1,0,0,0,7,0,1,0.0
Premier League,2425,Southampton,Joachim Kayi Sanda,FRA,DF,18,2006.0,0.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0
Premier League,2425,Southampton,Joe Aribo,NGA,"MF,DF",28,1996.0,22.4,1,0,0,20,28,1,10,20,33,0,1,0,112,25,24,51.0
Premier League,2425,Southampton,Joe Lumley,ENG,GK,30,1995.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
Premier League,2425,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",23,2002.0,14.7,2,0,0,21,11,3,25,6,16,0,0,0,57,11,26,29.7
Premier League,2425,Southampton,Kyle Walker-Peters,ENG,DF,28,1997.0,32.4,5,0,0,28,52,2,51,19,29,0,0,0,135,11,21,34.4
Premier League,2425,Southampton,Lesley Ugochukwu,FRA,MF,21,2004.0,17.4,7,0,0,31,15,0,6,14,24,0,1,0,63,20,17,54.1
Premier League,2425,Southampton,Mateus Fernandes,POR,MF,20,2004.0,31.3,8,0,0,44,55,4,108,26,47,0,0,0,174,15,9,62.5
Premier League,2425,Southampton,Maxwel Cornet,CIV,FW,28,1996.0,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0
Premier League,2425,Southampton,Nathan Wood-Gordon,ENG,DF,22,2002.0,7.6,2,0,0,8,4,0,3,5,7,0,0,0,20,12,7,63.2
Premier League,2425,Southampton,Paul Onuachu,NGA,FW,30,1994.0,11.4,4,0,0,28,16,9,0,1,2,0,0,0,17,90,56,61.6
Premier League,2425,Southampton,Ronnie Edwards,ENG,DF,22,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier League,2425,Southampton,Ross Stewart,SCO,FW,28,1996.0,3.6,1,0,0,7,5,1,0,1,3,0,0,0,4,11,18,37.9
Premier League,2425,Southampton,Ryan Fraser,SCO,"FW,DF",31,1994.0,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0
Premier League,2425,Southampton,Ryan Manning,IRL,"DF,MF",28,1996.0,16.2,2,0,0,19,32,0,84,17,17,0,0,0,65,15,6,71.4
Premier League,2425,Southampton,Samuel Amo-Ameyaw,ENG,"FW,DF",18,2006.0,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0
Premier League,2425,Southampton,Samuel Edozie,ENG,"DF,FW",22,2003.0,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,0.0
Premier League,2425,Southampton,Taylor Harwood-Bellis,ENG,DF,23,2002.0,31.4,9,0,0,35,14,0,10,30,20,0,0,0,123,63,49,56.3
Premier League,2425,Southampton,Tyler Dibling,ENG,"FW,MF",19,2006.0,20.8,6,0,0,30,50,2,28,8,20,2,0,0,80,10,25,28.6
Premier League,2425,Southampton,Welington,BRA,"DF,MF",24,2001.0,4.4,1,0,0,6,7,1,15,7,8,0,1,0,20,5,3,62.5
Premier League,2425,Southampton,William Smallbone,IRL,MF,25,2000.0,7.5,1,0,0,11,3,0,36,2,12,0,1,0,23,4,6,40.0
Premier League,2425,Southampton,Yukinari Sugawara,JPN,"DF,MF",24,2000.0,16.3,4,0,0,15,9,4,69,10,16,0,2,0,40,5,9,35.7
Premier League,2425,Tottenham,Alfie Dorrington,ENG,DF,20,2005.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
Premier League,2425,Tottenham,Antonín Kinský,CZE,GK,22,2003.0,6.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0
Premier League,2425,Tottenham,Archie Gray,ENG,"DF,MF",19,2006.0,18.5,1,0,0,14,11,0,17,18,8,0,0,1,67,10,9,52.6
Premier League,2425,Tottenham,Ben Davies,WAL,DF,32,1993.0,14.5,4,0,0,16,7,0,4,12,11,0,0,0,41,51,43,54.3
Premier League,2425,Tottenham,Brandon Austin,ENG,GK,26,1999.0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Premier League,2425,Tottenham,Brennan Johnson,WAL,FW,24,2001.0,23.2,5,0,0,26,25,12,53,4,26,2,0,0,60,7,20,25.9
Premier League,2425,Tottenham,Cristian Romero,ARG,DF,27,1998.0,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
Premier League,2425,Tottenham,Dane Scarlett,ENG,"FW,MF",21,2004.0,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0
Premier League,2425,Tottenham,Dejan Kulusevski,SWE,"MF,FW",25,2000.0,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0
Premier League,2425,Tottenham,Destiny Udogie,ITA,DF,22,2002.0,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0
Premier League,2425,Tottenham,Djed Spence,ENG,DF,24,2000.0,19.8,4,1,1,21,23,2,25,21,34,0,0,1,109,21,14,60.0
Premier League,2425,Tottenham,Dominic Solanke,ENG,FW,27,1997.0,23.7,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7
Premier League,2425,Tottenham,Fraser Forster,ENG,GK,37,1988.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Premier League,2425,Tottenham,Guglielmo Vicario,ITA,GK,28,1996.0,23.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0
Premier League,2425,Tottenham,James Maddison,ENG,MF,28,1996.0,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
Premier League,2425,Tottenham,Kevin Danso,AUT,DF,26,1998.0,8.4,0,0,0,8,11,0,1,5,5,0,0,0,27,20,9,69.0
Premier League,2425,Tottenham,Lucas Bergvall,SWE,MF,19,2006.0,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
Premier League,2425,Tottenham,Mathys Tel,FRA,FW,20,2005.0,9.2,2,0,0,13,14,1,32,2,5,0,0,0,36,4,5,44.4
Premier League,2425,Tottenham,Micky van de Ven,NED,DF,24,2001.0,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4
Premier League,2425,Tottenham,Mikey Moore,ENG,FW,17,2007.0,4.1,0,0,0,3,7,3,16,1,1,0,0,0,11,1,6,14.3
Premier League,2425,Tottenham,Pape Matar Sarr,SEN,MF,22,2002.0,20.8,6,0,0,33,35,2,14,29,36,0,1,0,112,33,43,43.4
Premier League,2425,Tottenham,Pedro Porro,ESP,DF,25,1999.0,28.0,4,0,0,24,31,1,194,34,46,0,0,0,148,11,22,33.3
Premier League,2425,Tottenham,Radu Drăgușin,ROU,DF,23,2002.0,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Premier League,2425,Tottenham,Richarlison,BRA,FW,28,1997.0,5.3,2,0,0,6,13,3,7,0,3,0,0,0,11,10,22,31.3
Premier League,2425,Tottenham,Rodrigo Bentancur,URU,MF,27,1997.0,17.6,8,0,0,32,10,1,4,36,21,0,0,0,115,36,29,55.4
Premier League,2425,Tottenham,Sergio Reguilón,ESP,DF,28,1996.0,2.2,2,0,0,2,6,0,12,4,3,0,0,0,14,5,2,71.4
Premier League,2425,Tottenham,Son Heung-min,KOR,FW,32,1992.0,23.4,1,0,0,6,28,12,79,5,9,1,0,0,85,6,12,33.3
Premier League,2425,Tottenham,Timo Werner,GER,"FW,MF",29,1996.0,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
Premier League,2425,Tottenham,Will Lankshear,ENG,"FW,MF",20,2005.0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier League,2425,Tottenham,Wilson Odobert,FRA,"FW,MF",20,2004.0,8.9,0,0,0,2,3,1,25,4,4,0,0,0,33,4,7,36.4
Premier League,2425,Tottenham,Yves Bissouma,MLI,MF,28,1996.0,15.4,7,0,0,27,18,0,2,18,30,0,1,0,82,7,7,50.0
Premier League,2425,West Ham,Aaron Cresswell,ENG,DF,35,1989.0,9.1,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50.0
Premier League,2425,West Ham,Aaron Wan-Bissaka,ENG,DF,27,1997.0,34.0,1,0,0,24,26,5,73,64,48,0,0,1,167,22,31,41.5
Premier League,2425,West Ham,Alphonse Areola,FRA,GK,32,1993.0,25.1,0,0,0,0,0,0,0,0,2,0,0,1,29,2,0,100.0
Premier League,2425,West Ham,Andy Irving,SCO,MF,25,2000.0,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0
Premier League,2425,West Ham,Carlos Soler,ESP,"MF,FW",28,1997.0,15.6,6,0,0,26,19,0,34,8,11,0,0,0,64,10,12,45.5
Premier League,2425,West Ham,Crysencio Summerville,NED,"FW,MF",23,2001.0,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8
Premier League,2425,West Ham,Danny Ings,ENG,"FW,MF",32,1992.0,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4
Premier League,2425,West Ham,Edson Álvarez,MEX,MF,27,1997.0,18.8,9,1,1,40,18,4,6,17,24,0,0,0,85,29,22,56.9
Premier League,2425,West Ham,Emerson Palmieri,ITA,DF,30,1994.0,23.5,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4
Premier League,2425,West Ham,Evan Ferguson,IRL,FW,20,2004.0,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3
Premier League,2425,West Ham,Guido Rodríguez,ARG,MF,31,1994.0,12.6,6,0,0,18,12,2,5,13,17,0,0,0,53,11,7,61.1
Premier League,2425,West Ham,James Ward-Prowse,ENG,MF,30,1994.0,10.7,2,0,0,10,3,0,47,7,14,0,0,0,48,10,5,66.7
Premier League,2425,West Ham,Jarrod Bowen,ENG,"FW,MF",28,1996.0,32.0,1,0,0,20,51,10,106,16,26,0,0,0,126,12,47,20.3
Premier League,2425,West Ham,Jean-Clair Todibo,FRA,DF,25,1999.0,19.3,3,0,0,14,6,0,3,24,26,0,0,0,77,26,26,50.0
Premier League,2425,West Ham,Kaelan Casey,ENG,DF,20,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Premier League,2425,West Ham,Konstantinos Mavropanos,GRE,DF,27,1997.0,21.7,6,1,1,17,14,3,2,39,22,0,0,0,70,56,24,70.0
Premier League,2425,West Ham,Lewis Orford,ENG,MF,19,2006.0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0
Premier League,2425,West Ham,Lucas Paquetá,BRA,"MF,FW",27,1997.0,26.3,10,0,0,53,62,6,29,18,37,0,1,0,149,48,57,45.7
Premier League,2425,West Ham,Luis Guilherme,BRA,"MF,FW",19,2006.0,1.7,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7
Premier League,2425,West Ham,Max Kilman,ENG,DF,28,1997.0,36.2,4,0,0,22,13,2,3,38,24,0,0,0,144,112,55,67.1
Premier League,2425,West Ham,Michail Antonio,JAM,FW,35,1990.0,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6
Premier League,2425,West Ham,Mohammed Kudus,GHA,"FW,MF",24,2000.0,28.6,2,1,0,39,62,18,81,4,22,0,0,0,136,11,38,22.4
Premier League,2425,West Ham,Niclas Füllkrug,GER,FW,32,1993.0,8.0,2,0,0,21,5,9,1,1,3,0,0,0,17,34,49,41.0
Premier League,2425,West Ham,Oliver Scarles,ENG,DF,19,2005.0,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0
Premier League,2425,West Ham,Tomáš Souček,CZE,MF,30,1995.0,27.5,8,0,0,45,24,4,13,19,21,1,0,0,60,99,71,58.2
Premier League,2425,West Ham,Vladimír Coufal,CZE,DF,32,1992.0,11.6,5,0,0,22,15,0,28,8,15,0,0,1,38,23,15,60.5
Premier League,2425,West Ham,Łukasz Fabiański,POL,GK,40,1985.0,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7
Premier League,2425,Wolves,Alfie Pond,ENG,DF,21,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier League,2425,Wolves,André,BRA,MF,23,2001.0,26.5,7,0,0,36,33,0,0,37,54,0,1,0,190,2,6,25.0
Premier League,2425,Wolves,Boubacar Traoré,MLI,MF,23,2001.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Premier League,2425,Wolves,Carlos Forbs,POR,"MF,FW",21,2004.0,2.7,2,0,0,2,1,0,9,1,5,0,0,0,11,1,3,25.0
Premier League,2425,Wolves,Chiquinho,POR,MF,25,2000.0,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.0
Premier League,2425,Wolves,Craig Dawson,ENG,DF,35,1990.0,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0
Premier League,2425,Wolves,Daniel Podence,POR,"MF,FW",29,1995.0,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0
Premier League,2425,Wolves,Emmanuel Agbadou,CIV,DF,27,1997.0,14.7,3,0,0,7,4,1,2,11,18,0,0,0,77,25,18,58.1
Premier League,2425,Wolves,Gonçalo Guedes,POR,"MF,FW",28,1996.0,10.3,1,0,0,15,16,3,20,5,5,0,0,0,36,3,11,21.4
Premier League,2425,Wolves,Hwang Hee-chan,KOR,"MF,FW",29,1996.0,7.3,0,0,0,6,9,0,8,2,4,0,0,0,28,3,9,25.0
Premier League,2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26,1998.0,18.6,3,0,0,31,47,1,44,10,24,0,0,0,61,10,19,34.5
Premier League,2425,Wolves,José Sá,POR,GK,32,1993.0,28.0,2,0,0,4,8,0,0,0,2,0,4,0,35,10,1,90.9
Premier League,2425,Wolves,João Gomes,BRA,MF,24,2001.0,32.0,10,1,1,68,44,1,28,25,64,0,0,0,186,9,24,27.3
Premier League,2425,Wolves,Jørgen Strand Larsen,NOR,FW,25,2000.0,28.5,4,0,0,46,19,14,6,6,6,0,0,0,42,66,100,39.8
Premier League,2425,Wolves,Mario Lemina,GAB,"MF,DF",31,1993.0,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0
Premier League,2425,Wolves,Marshall Munetsi,ZIM,"MF,FW",28,1996.0,11.0,0,0,0,17,10,3,7,6,10,0,0,0,33,27,19,58.7
Premier League,2425,Wolves,Mateus Mane,0,MF,nan,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Premier League,2425,Wolves,Matheus Cunha,BRA,"MF,FW",25,1999.0,27.9,4,0,0,42,71,8,133,17,21,0,1,0,123,12,29,29.3
Premier League,2425,Wolves,Matt Doherty,IRL,DF,33,1992.0,22.5,6,0,0,18,11,2,20,22,20,0,0,1,101,50,20,71.4
Premier League,2425,Wolves,Nasser Djiga,BFA,DF,22,2002.0,0.7,0,0,0,0,1,0,0,2,0,0,0,0,2,1,1,50.0
Premier League,2425,Wolves,Nélson Semedo,POR,DF,31,1993.0,31.1,7,0,0,45,29,4,62,23,34,0,1,0,133,27,41,39.7
Premier League,2425,Wolves,Pablo Sarabia,ESP,"MF,FW",33,1992.0,9.0,3,0,0,16,15,5,47,4,8,0,0,0,34,5,14,26.3
Premier League,2425,Wolves,Pedro Lima,BRA,DF,18,2006.0,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0
Premier League,2425,Wolves,Rayan Aït-Nouri,ALG,DF,23,2001.0,33.8,7,1,1,30,45,5,92,25,55,0,0,0,142,22,29,43.1
Premier League,2425,Wolves,Rodrigo Gomes,POR,"DF,FW",21,2003.0,8.7,0,0,0,4,6,0,23,5,15,0,0,0,28,6,17,26.1
Premier League,2425,Wolves,Sam Johnstone,ENG,GK,32,1993.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0
Premier League,2425,Wolves,Santiago Bueno,URU,DF,26,1998.0,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0
Premier League,2425,Wolves,Tommy Doyle,ENG,MF,23,2001.0,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3
Premier League,2425,Wolves,Toti Gomes,POR,DF,26,1999.0,28.0,7,0,0,24,14,4,13,24,42,0,1,0,112,53,26,67.1
Premier League,2425,Wolves,Yerson Mosquera,COL,DF,24,2001.0,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7
La Liga,2425,Alavés,Abdel Abqar,MAR,DF,26,1999.0,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3
La Liga,2425,Alavés,Abderrahman Rebbach,ALG,"FW,MF",26,1998.0,4.3,1,0,0,5,6,2,17,0,2,0,0,0,16,1,11,8.3
La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,24,2000.0,1.4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0
La Liga,2425,Alavés,Aleksandar Sedlar,SRB,DF,33,1991.0,5.7,1,1,0,9,5,0,0,9,9,0,0,0,16,8,6,57.1
La Liga,2425,Alavés,Ander Guevara,ESP,MF,27,1997.0,21.6,3,0,0,39,18,0,5,14,30,0,0,0,120,30,39,43.5
La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24,2000.0,29.3,11,1,1,65,27,0,29,40,40,0,0,0,156,28,34,45.2
La Liga,2425,Alavés,Antonio Sivera,ESP,GK,28,1996.0,30.2,6,1,0,4,5,0,0,0,1,0,3,1,21,5,1,83.3
La Liga,2425,Alavés,Asier Villalibre,ESP,FW,27,1997.0,3.7,2,0,0,11,7,2,2,1,2,0,0,0,7,22,12,64.7
La Liga,2425,Alavés,Carles Aleñá,ESP,"MF,FW",27,1998.0,11.1,1,0,0,9,23,0,28,2,11,0,0,0,45,8,6,57.1
La Liga,2425,Alavés,Carlos Benavídez,URU,MF,27,1998.0,4.5,3,0,0,17,6,1,1,8,10,0,0,0,28,7,7,50.0
La Liga,2425,Alavés,Carlos Martín,ESP,"FW,MF",23,2002.0,14.7,3,0,0,31,28,6,24,5,20,0,0,0,54,15,19,44.1
La Liga,2425,Alavés,Carlos Vicente,ESP,"FW,MF",26,1999.0,33.4,3,0,0,35,60,10,261,14,28,0,0,0,126,34,59,36.6
La Liga,2425,Alavés,Facundo Garcés,ARG,DF,25,1999.0,6.5,1,0,0,6,2,0,1,4,1,0,1,0,12,11,11,50.0
La Liga,2425,Alavés,Hugo Novoa,ESP,"DF,MF",22,2003.0,2.6,0,0,0,1,1,2,7,0,5,0,0,0,9,1,8,11.1
La Liga,2425,Alavés,Jesús Owono,EQG,GK,24,2001.0,5.4,0,0,0,1,2,0,0,0,1,0,1,0,3,0,0,0.0
La Liga,2425,Alavés,Joan Jordán,ESP,MF,30,1994.0,15.7,4,0,0,28,11,1,106,9,18,0,0,0,61,16,13,55.2
La Liga,2425,Alavés,Jon Guridi,ESP,"MF,FW",30,1995.0,22.4,6,0,0,35,14,5,17,14,22,0,1,0,86,46,63,42.2
La Liga,2425,Alavés,Kiké,ESP,FW,35,1989.0,27.6,5,1,1,49,58,21,12,1,14,1,0,0,87,108,98,52.4
La Liga,2425,Alavés,Luis Rioja,ESP,FW,31,1993.0,0.3,0,0,0,1,1,0,6,0,1,0,0,0,1,0,0,0.0
La Liga,2425,Alavés,Luka Romero,ARG,"FW,MF",20,2004.0,2.2,0,0,0,3,3,1,10,1,4,1,0,0,9,2,4,33.3
La Liga,2425,Alavés,Manu Sánchez,ESP,DF,24,2000.0,28.3,6,1,0,56,20,1,77,30,52,0,1,1,98,7,30,18.9
La Liga,2425,Alavés,Moussa Diarra,MLI,DF,24,2000.0,20.7,6,0,0,28,24,1,23,21,24,1,1,0,76,31,29,51.7
La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,29,1996.0,31.5,11,0,0,34,44,2,83,42,58,2,0,0,115,44,52,45.8
La Liga,2425,Alavés,Pau Cabanes,ESP,"MF,FW",20,2005.0,2.1,1,0,0,5,5,0,12,0,2,0,0,0,11,1,3,25.0
La Liga,2425,Alavés,Pica,ESP,DF,23,2002.0,5.4,1,0,0,6,3,0,2,8,7,0,0,0,12,17,10,63.0
La Liga,2425,Alavés,Santiago Mouriño,URU,DF,23,2002.0,20.5,7,0,0,32,23,1,4,29,28,1,0,0,85,38,28,57.6
La Liga,2425,Alavés,Stoichkov,ESP,"MF,FW",31,1993.0,7.8,1,0,0,9,16,5,13,1,9,0,0,0,44,5,15,25.0
La Liga,2425,Alavés,Tomás Conechny,ARG,"FW,MF",27,1998.0,9.1,7,0,0,27,11,4,31,6,10,0,0,0,43,22,20,52.4
La Liga,2425,Alavés,Toni Martínez,ESP,"FW,MF",27,1997.0,10.9,1,0,0,15,13,7,7,1,7,0,1,0,29,79,66,54.5
La Liga,2425,Athletic Club,Adama Boiro,ESP,"DF,FW",22,2002.0,12.2,3,0,0,13,8,1,31,12,11,0,0,0,45,16,9,64.0
La Liga,2425,Athletic Club,Adu Ares,ESP,FW,23,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
La Liga,2425,Athletic Club,Aingeru Olabarrieta,ESP,FW,19,2005.0,0.6,0,0,0,1,0,0,4,1,0,0,0,0,4,1,0,100.0
La Liga,2425,Athletic Club,Aitor Paredes,ESP,DF,25,2000.0,19.1,4,1,1,23,6,0,1,22,12,0,1,0,59,29,28,50.9
La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,21,2003.0,3.6,0,0,0,0,1,0,0,0,0,0,0,1,4,1,0,100.0
La Liga,2425,Athletic Club,Ander Herrera,ESP,MF,35,1989.0,3.0,2,0,0,6,3,0,1,2,4,0,0,0,14,3,2,60.0
La Liga,2425,Athletic Club,Andoni Gorosabel,ESP,DF,28,1996.0,16.5,5,0,0,24,4,1,41,18,28,0,0,0,56,20,28,41.7
La Liga,2425,Athletic Club,Beñat Prados,ESP,MF,24,2001.0,18.7,7,0,0,37,15,0,8,28,34,0,0,0,90,28,22,56.0
La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25,1999.0,28.7,3,0,0,27,21,1,8,47,26,0,1,0,162,43,31,58.1
La Liga,2425,Athletic Club,Endika Buján,ESP,FW,22,2003.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
La Liga,2425,Athletic Club,Gorka Guruzeta,ESP,FW,28,1996.0,20.4,2,0,0,40,21,7,5,9,8,0,0,0,61,36,69,34.3
La Liga,2425,Athletic Club,Iñaki Williams,GHA,FW,30,1994.0,29.3,1,0,0,22,39,16,115,12,10,1,0,0,87,30,20,60.0
La Liga,2425,Athletic Club,Iñigo Lekue,ESP,DF,32,1993.0,8.6,1,0,0,5,2,0,16,9,12,0,0,0,39,6,2,75.0
La Liga,2425,Athletic Club,Iñigo Ruiz de Galarreta,ESP,MF,31,1993.0,15.7,5,0,0,39,16,0,29,15,21,0,0,0,119,7,12,36.8
La Liga,2425,Athletic Club,Javi Martón,ESP,"FW,MF",26,1999.0,0.6,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,66.7
La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,24,2000.0,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0
La Liga,2425,Athletic Club,Maroan Sannadi,ESP,FW,24,2001.0,7.4,0,0,0,18,25,5,5,0,0,1,0,0,22,12,16,42.9
La Liga,2425,Athletic Club,Mikel Jauregizar,ESP,MF,21,2003.0,23.9,4,1,0,42,40,0,27,27,47,1,0,0,138,34,35,49.3
La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,32,1993.0,11.0,1,0,0,14,4,0,8,15,15,0,0,0,66,25,16,61.0
La Liga,2425,Athletic Club,Nico Williams,ESP,FW,22,2002.0,21.3,1,0,0,16,35,10,107,6,17,0,0,0,88,11,17,39.3
La Liga,2425,Athletic Club,Nicolás Serrano,ESP,FW,22,2003.0,1.2,0,0,0,2,2,0,13,1,1,0,0,0,3,0,2,0.0
La Liga,2425,Athletic Club,Oihan Sancet,ESP,MF,25,2000.0,17.7,2,0,0,15,24,5,18,5,8,0,0,0,76,12,13,48.0
La Liga,2425,Athletic Club,Peio Canales,ESP,"MF,FW",20,2005.0,2.9,0,0,0,1,2,1,16,2,2,0,0,0,17,0,3,0.0
La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21,2003.0,13.6,1,0,0,11,18,0,23,2,8,0,0,0,40,28,30,48.3
La Liga,2425,Athletic Club,Unai Núñez,ESP,DF,28,1997.0,6.5,4,0,0,9,5,0,0,17,4,0,0,0,26,13,12,52.0
La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997.0,20.0,0,0,0,0,3,0,0,1,0,0,0,0,32,5,0,100.0
La Liga,2425,Athletic Club,Yeray Álvarez,ESP,DF,30,1995.0,19.8,4,0,0,15,15,0,3,34,13,0,0,0,83,49,42,53.8
La Liga,2425,Athletic Club,Yuri Berchiche,ESP,DF,35,1990.0,21.7,4,0,0,15,19,4,40,25,21,0,0,0,115,28,20,58.3
La Liga,2425,Athletic Club,Álex Berenguer,ESP,"FW,MF",29,1995.0,25.0,5,0,0,29,29,4,172,10,14,2,0,0,108,27,50,35.1
La Liga,2425,Athletic Club,Álvaro djaló,ESP,FW,25,1999.0,7.3,2,0,0,19,14,5,14,1,5,0,0,0,28,10,19,34.5
La Liga,2425,Athletic Club,Óscar de Marcos,ESP,DF,36,1989.0,16.4,0,0,0,15,5,1,52,15,15,0,0,0,88,8,12,40.0
La Liga,2425,Atlético Madrid,Adrian Niño,ESP,FW,20,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
La Liga,2425,Atlético Madrid,Alexander Sørloth,NOR,FW,29,1995.0,17.1,4,0,0,25,13,7,5,1,5,0,0,0,39,96,50,65.8
La Liga,2425,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34,1991.0,26.8,2,0,0,11,24,14,137,6,17,0,0,0,89,21,22,48.8
La Liga,2425,Atlético Madrid,Axel Witsel,BEL,DF,36,1989.0,8.5,1,0,0,4,3,1,0,9,12,0,0,0,30,23,14,62.2
La Liga,2425,Atlético Madrid,Clément Lenglet,FRA,DF,29,1995.0,20.9,9,0,0,28,19,2,4,21,16,0,2,0,73,36,38,48.6
La Liga,2425,Atlético Madrid,Conor Gallagher,ENG,MF,25,2000.0,17.9,2,0,0,31,39,1,13,20,31,1,0,0,105,9,21,30.0
La Liga,2425,Atlético Madrid,César Azpilicueta,ESP,DF,35,1989.0,8.7,1,0,0,7,5,3,4,4,13,0,0,0,24,13,14,48.1
La Liga,2425,Atlético Madrid,Giuliano Simeone,ARG,MF,22,2002.0,21.1,4,0,0,23,42,7,49,14,13,1,0,0,72,11,23,32.4
La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,32,1993.0,36.0,0,0,0,0,2,0,0,0,0,0,0,0,29,3,0,100.0
La Liga,2425,Atlético Madrid,Javi Galán,ESP,DF,30,1994.0,19.8,8,0,0,38,35,4,57,12,31,0,1,0,71,25,25,50.0
La Liga,2425,Atlético Madrid,José María Giménez,URU,DF,30,1995.0,22.2,5,0,0,13,12,0,0,27,16,0,0,1,78,38,37,50.7
