league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,19,2005.0,1.4,0,0,0,0,1,0,1,0,5,0,0,0,4,0,1,0.0
Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",21,2004.0,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0
Premier League,2425,Aston Villa,Leon Bailey,JAM,"FW,MF",27,1997.0,12.7,3,0,0,12,18,3,34,3,5,1,0,0,59,6,9,40.0
Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,1993.0,26.1,4,0,0,21,16,7,140,25,38,0,0,0,104,37,28,56.9
Premier League,2425,Aston Villa,Marco Asensio,ESP,MF,29,1996.0,7.8,2,0,0,11,8,2,36,2,5,0,0,0,25,0,1,0.0
Premier League,2425,Aston Villa,Marcus Rashford,ENG,FW,27,1997.0,4.9,0,0,0,1,3,1,28,1,7,0,0,0,14,1,8,11.1
Premier League,2425,Aston Villa,Matty Cash,POL,DF,27,1997.0,22.0,7,0,0,25,19,1,38,22,30,0,2,0,72,18,19,48.6
Premier League,2425,Aston Villa,Morgan Rogers,ENG,"FW,MF",22,2002.0,33.7,9,0,0,47,51,2,26,5,22,1,0,0,115,13,47,21.7
Premier League,2425,Aston Villa,Ollie Watkins,ENG,FW,29,1995.0,27.9,2,0,0,28,32,13,7,8,7,2,0,0,42,50,63,44.2
Premier League,2425,Aston Villa,Pau Torres,ESP,DF,28,1997.0,21.4,1,0,0,8,7,0,3,9,15,0,0,0,61,17,28,37.8
Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,35,1990.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
Premier League,2425,Aston Villa,Ross Barkley,ENG,MF,31,1993.0,6.4,3,0,0,8,3,0,1,10,3,0,0,0,41,6,4,60.0
Premier League,2425,Aston Villa,Tyrone Mings,ENG,DF,32,1993.0,12.4,1,0,0,4,11,0,1,7,6,0,0,0,38,27,22,55.1
Premier League,2425,Aston Villa,Youri Tielemans,BEL,MF,28,1997.0,33.3,4,0,0,41,56,0,118,22,57,0,0,0,145,22,18,55.0
Premier League,2425,Bournemouth,Adam Smith,ENG,DF,34,1991.0,16.7,7,0,0,18,11,0,32,14,10,0,0,0,46,13,14,48.1
Premier League,2425,Bournemouth,Alex Scott,ENG,MF,21,2003.0,8.4,3,0,0,17,26,0,7,10,14,0,0,0,52,7,7,50.0
Premier League,2425,Bournemouth,Antoine Semenyo,GHA,FW,25,2000.0,34.6,9,0,0,70,37,14,57,11,34,1,0,0,157,66,73,47.5
Premier League,2425,Bournemouth,Ben Winterburn,ENG,"FW,MF",20,2004.0,0.3,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,100.0
Premier League,2425,Bournemouth,Dango Ouattara,BFA,FW,23,2002.0,22.3,3,0,0,16,19,14,88,11,26,0,0,0,92,45,63,41.7
Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21,2003.0,1.0,1,0,0,2,2,0,1,1,2,0,0,0,9,2,10,16.7
Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997.0,10.0,3,0,0,8,16,0,48,5,5,0,0,0,47,7,10,41.2
Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20,2005.0,26.8,10,0,0,31,10,2,12,51,26,0,0,0,105,67,43,60.9
Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28,1997.0,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2
Premier League,2425,Bournemouth,Evanilson,BRA,FW,25,1999.0,24.8,1,1,0,35,52,20,0,1,10,5,0,0,64,41,60,40.6
Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22,2002.0,33.5,4,1,0,20,7,0,6,39,35,0,0,0,153,72,43,62.6
Premier League,2425,Bournemouth,James Hill,ENG,DF,23,2002.0,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8
Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23,2001.0,5.5,2,0,0,7,2,1,9,6,5,0,0,0,29,3,9,25.0
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20,2005.0,0.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.0
Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26,1999.0,25.0,8,0,0,44,31,5,81,13,9,1,0,0,74,7,25,21.9
Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30,1994.0,30.0,3,0,0,2,5,0,0,0,0,0,2,0,56,7,1,87.5
Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28,1997.0,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999.0,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0
Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28,1997.0,11.4,5,0,0,20,7,0,11,11,21,0,0,0,69,24,28,46.2
Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26,1999.0,20.6,6,0,0,32,24,4,103,5,24,0,0,0,111,25,33,43.1
Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26,1999.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25,2000.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,0.0
Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21,2003.0,36.1,4,0,0,29,49,2,138,45,26,0,0,0,164,27,48,36.0
Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989.0,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0.0
Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996.0,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30,1995.0,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26,1999.0,20.8,7,0,0,43,20,0,3,32,49,0,1,0,110,29,18,61.7
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
Premier League,2425,Brentford,Ben Mee,ENG,DF,35,1989.0,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0
Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25,1999.0,36.9,3,0,0,24,44,11,197,14,29,0,0,0,149,34,73,31.8
Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31,1994.0,30.3,8,1,0,44,28,1,17,48,46,0,0,0,188,48,29,62.3
