player;cluster;classification
Robin Gosens;3;Defensor Atacante
Tom Rothe;0;Defensor Equilibrado
Amos Pieper;4;Defensor Regular
Anthony Jung;4;Defensor Regular
Derrick Köhn;3;Defensor Atacante
Felix Agu;3;Defensor Atacante
Issa Kaboré;0;Defensor Equilibrado
Julián Malatini;4;Defensor Regular
Marco Friedl;2;Defensor Caudillo
Miloš Veljković;2;Defensor Caudillo
Mitchell Weiser;3;Defensor Atacante
Niklas Stark;2;Defensor Caudillo
Cedric Zesiger;4;Defensor Regular
David Odogu;2;Defensor Caudillo
Denis Vavro;2;Defensor Caudillo
Jakub Kamiński;0;Defensor Equilibrado
Joakim Mæhle;1;Defensor Temerario
Kevin Paredes;3;Defensor Atacante
Kilian Fischer;1;Defensor Temerario
Konstantinos Koulierakis;2;Defensor Caudillo
Mads Roerslev;4;Defensor Regular
Sebastiaan Bornauw;2;Defensor Caudillo
Berat Djimsiti;4;Defensor Regular
Davide Zappacosta;1;Defensor Temerario
Giorgio Scalvini;3;Defensor Atacante
Isak Hien;2;Defensor Caudillo
Juan Cuadrado;3;Defensor Atacante
Marco Palestra;3;Defensor Atacante
Matteo Ruggeri;0;Defensor Equilibrado
Odilon Kossounou;4;Defensor Regular
Rafael Tolói;4;Defensor Regular
Raoul Bellanova;3;Defensor Atacante
Sead Kolašinac;1;Defensor Temerario
Stefan Posch;0;Defensor Equilibrado
Charalambos Lykogiannis;4;Defensor Regular
Davide Calabria;1;Defensor Temerario
Emil Holm;4;Defensor Regular
Jhon Lucumí;4;Defensor Regular
Juan Miranda;4;Defensor Regular
Lorenzo De Silvestri;4;Defensor Regular
Martin Erlic;2;Defensor Caudillo
Nicolò Casale;2;Defensor Caudillo
Sam Beukema;2;Defensor Caudillo
Stefan Posch;4;Defensor Regular
Adam Obert;1;Defensor Temerario
Gabriele Zappa;1;Defensor Temerario
José Luis Palomino;2;Defensor Caudillo
Mateusz Wieteska;2;Defensor Caudillo
Nadir Zortea;3;Defensor Atacante
Paulo Azzi;3;Defensor Atacante
Sebastiano Luperto;2;Defensor Caudillo
Tommaso Augello;1;Defensor Temerario
Yerry Mina;4;Defensor Regular
Alberto Dossena;2;Defensor Caudillo
Alberto Moreno;4;Defensor Regular
Alessio Iovine;4;Defensor Regular
Edoardo Goldaniga;4;Defensor Regular
Federico Barba;1;Defensor Temerario
Fellipe Jack;3;Defensor Atacante
Ignace Van Der Brempt;1;Defensor Temerario
Ivan Smolčić;1;Defensor Temerario
Marc-Oliver Kempf;4;Defensor Regular
Marco Sala;3;Defensor Atacante
Mërgim Vojvoda;1;Defensor Temerario
Álex Valle;1;Defensor Temerario
Ardian Ismajli;2;Defensor Caudillo
Emmanuel Gyasi;1;Defensor Temerario
Giuseppe Pezzella;3;Defensor Atacante
Junior Sambia;4;Defensor Regular
Liberato Cacace;3;Defensor Atacante
Luca Marianucci;2;Defensor Caudillo
Mattia De Sciglio;4;Defensor Regular
Mattia Viti;4;Defensor Regular
Saba Goglichidze;2;Defensor Caudillo
Sebastian Walukiewicz;1;Defensor Temerario
Cristiano Biraghi;4;Defensor Regular
Dodô;4;Defensor Regular
Fabiano Parisi;1;Defensor Temerario
Luca Ranieri;4;Defensor Regular
Lucas Martínez Quarta;2;Defensor Caudillo
Marin Pongračić;2;Defensor Caudillo
Matias Moreno;4;Defensor Regular
Michael Kayode;3;Defensor Atacante
Pablo Marí;2;Defensor Caudillo
Pietro Comuzzo;2;Defensor Caudillo
Robin Gosens;4;Defensor Regular
Aarón Martín;4;Defensor Regular
Alan Matturro;2;Defensor Caudillo
Alessandro Vogliacco;4;Defensor Regular
Brooke Norton-Cuffy;3;Defensor Atacante
Honest Ahanor;3;Defensor Atacante
Johan Vásquez;2;Defensor Caudillo
Koni De Winter;2;Defensor Caudillo
Mattia Bani;2;Defensor Caudillo
Sebastian Otoa;4;Defensor Regular
Stefano Sabelli;4;Defensor Regular
Daniel Oyegoke;0;Defensor Equilibrado
Daniele Ghilardi;4;Defensor Regular
Darko Lazović;3;Defensor Atacante
Davide Faraoni;3;Defensor Atacante
Diego Coppola;2;Defensor Caudillo
Domagoj Bradarić;1;Defensor Temerario
Flavius Daniliuc;1;Defensor Temerario
Giangiacomo Magnani;2;Defensor Caudillo
Jackson Tchatchoua;0;Defensor Equilibrado
Martin Frese;3;Defensor Atacante
Nicolás Valentini;2;Defensor Caudillo
Paweł Dawidowicz;4;Defensor Regular
Alessandro Bastoni;4;Defensor Regular
Benjamin Pavard;4;Defensor Regular
Carlos Augusto;1;Defensor Temerario
Denzel Dumfries;3;Defensor Atacante
Federico Dimarco;3;Defensor Atacante
Francesco Acerbi;2;Defensor Caudillo
Matteo Darmian;4;Defensor Regular
Nicola Zalewski;3;Defensor Atacante
Stefan de Vrij;2;Defensor Caudillo
Tajon Buchanan;0;Defensor Equilibrado
Yann Aurel Bisseck;4;Defensor Regular
Alberto costa;0;Defensor Equilibrado
Andrea Cambiaso;1;Defensor Temerario
Danilo;4;Defensor Regular
Federico Gatti;2;Defensor Caudillo
Gleison Bremer;2;Defensor Caudillo
Jonas Rouhi;1;Defensor Temerario
Juan David Cabal;1;Defensor Temerario
Lloyd Kelly;1;Defensor Temerario
Nicolò Savona;1;Defensor Temerario
Pierre Kalulu;4;Defensor Regular
Renato Veiga;2;Defensor Caudillo
Timothy Weah;3;Defensor Atacante
Adam Marušić;1;Defensor Temerario
Alessio Romagnoli;4;Defensor Regular
Elseid Hysaj;1;Defensor Temerario
Luca Pellegrini;3;Defensor Atacante
Manuel Lazzari;3;Defensor Atacante
Mario Gila;2;Defensor Caudillo
Nicolò Casale;2;Defensor Caudillo
Nuno Tavares;3;Defensor Atacante
Patric;2;Defensor Caudillo
Samuel Gigot;4;Defensor Regular
Andy Pelmard;1;Defensor Temerario
Antonino Gallo;4;Defensor Regular
Danilo Veiga;3;Defensor Atacante
Federico Baschirotto;2;Defensor Caudillo
Frederic Guilbert;1;Defensor Temerario
Gaby Jean;4;Defensor Regular
Kialonda;2;Defensor Caudillo
Patrick Dorgu;3;Defensor Atacante
Tiago Gabriel;2;Defensor Caudillo
Valentin Gendrey;3;Defensor Atacante
Alejandro Jiménez;3;Defensor Atacante
Alexis Saelemaekers;0;Defensor Equilibrado
Davide Calabria;1;Defensor Temerario
Emerson;1;Defensor Temerario
Fikayo Tomori;4;Defensor Regular
Filippo Terracciano;4;Defensor Regular
Kyle Walker;4;Defensor Regular
Malick Thiaw;2;Defensor Caudillo
Matteo Gabbia;2;Defensor Caudillo
Strahinja Pavlović;4;Defensor Regular
Theo Hernández;1;Defensor Temerario
Andrea Carboni;1;Defensor Temerario
Armando Izzo;2;Defensor Caudillo
Arvid Brorsson;2;Defensor Caudillo
Danilo D'Ambrosio;4;Defensor Regular
Giorgos Kyriakopoulos;1;Defensor Temerario
Luca Caldirola;2;Defensor Caudillo
Pablo Marí;2;Defensor Caudillo
Pedro Pereira;4;Defensor Regular
Samuele Birindelli;3;Defensor Atacante
Stefan Lekovic;4;Defensor Regular
Tomás Palacios;4;Defensor Regular
Alessandro Buongiorno;4;Defensor Regular
Amir Rrahmani;2;Defensor Caudillo
Giovanni Di Lorenzo;1;Defensor Temerario
Juan Jesus;2;Defensor Caudillo
Leonardo Spinazzola;3;Defensor Atacante
Mathías Olivera;1;Defensor Temerario
Pasquale Mazzocchi;3;Defensor Atacante
Rafa Marín;2;Defensor Caudillo
Alessandro Circati;2;Defensor Caudillo
Alessandro Vogliacco;2;Defensor Caudillo
Antoine Hainaut;3;Defensor Atacante
Botond Balogh;2;Defensor Caudillo
Emanuele Valeri;3;Defensor Atacante
Enrico Del Prato;4;Defensor Regular
Giovanni Leoni;2;Defensor Caudillo
Lautaro Valenti;2;Defensor Caudillo
Mathias Løvik;3;Defensor Atacante
Woyo Coulibaly;1;Defensor Temerario
Yordan Osorio;4;Defensor Regular
Alexis Saelemaekers;0;Defensor Equilibrado
Anass Salah-Eddine;3;Defensor Atacante
Angeliño;4;Defensor Regular
Devyne Rensch;0;Defensor Equilibrado
Gianluca Mancini;4;Defensor Regular
Mario Hermoso;4;Defensor Regular
Mats Hummels;2;Defensor Caudillo
Nicola Zalewski;3;Defensor Atacante
Obite N'Dicka;2;Defensor Caudillo
Saud Abdulhamid;1;Defensor Temerario
Stephan El Shaarawy;3;Defensor Atacante
Victor Nelsson;2;Defensor Caudillo
Zeki Çelik;1;Defensor Temerario
Adam Masina;4;Defensor Regular
Ali Dembélé;1;Defensor Temerario
Borna Sosa;1;Defensor Temerario
Cristiano Biraghi;1;Defensor Temerario
Guillermo Maripán;2;Defensor Caudillo
Marcus Pedersen;3;Defensor Atacante
Mërgim Vojvoda;4;Defensor Regular
Raoul Bellanova;3;Defensor Atacante
Saúl Coco;2;Defensor Caudillo
Sebastian Walukiewicz;1;Defensor Temerario
Valentino Lazaro;3;Defensor Atacante
Christian Kabasele;4;Defensor Regular
Enzo Ebosse;2;Defensor Caudillo
Hassane Kamara;1;Defensor Temerario
Jaka Bijol;2;Defensor Caudillo
James Abankwah;4;Defensor Regular
Jordan Zemura;0;Defensor Equilibrado
Kingsley Ehizibue;1;Defensor Temerario
Lautaro Gianetti;2;Defensor Caudillo
Nehuén Pérez;1;Defensor Temerario
Oumar Solet;4;Defensor Regular
Rui Modesto;0;Defensor Equilibrado
Souleymane Touré;4;Defensor Regular
Thomas Kristensen;4;Defensor Regular
Alessandro Marcandalli;4;Defensor Regular
Alessio Zerbin;3;Defensor Atacante
Antonio Candela;3;Defensor Atacante
Bjarki Bjarkason;0;Defensor Equilibrado
Fali Candé;1;Defensor Temerario
Francesco Zampano;3;Defensor Atacante
Franco Carboni;3;Defensor Atacante
Giorgio Altare;2;Defensor Caudillo
Jay Idzes;2;Defensor Caudillo
Joël Schingtienne;1;Defensor Temerario
Marin Šverko;4;Defensor Regular
Michael Svoboda;2;Defensor Caudillo
Mikael Ellertsson;3;Defensor Atacante
Richie Sagrado;0;Defensor Equilibrado
Ridgeciano Haps;4;Defensor Regular
