player,cluster,classification
Jean-Ricner Bellegarde,3,Mediocampista Recuperador
João Gomes,0,Mediocampista Goleador
Mario Lemina,3,Mediocampista Recuperador
Marshall Munetsi,3,Mediocampista Recuperador
Matheus Cunha,0,Mediocampista Goleador
Pablo Sarabia,3,Mediocampista Recuperador
Tommy Doyle,4,Mediocampista Pasador
Ander Guevara,1,Mediocampista Lector de Juego
Antonio Blanco,0,Mediocampista Goleador
Carles Aleñá,2,Mediocampista Box to Box
Carlos Benavídez,2,Mediocampista Box to Box
Joan Jordán,1,Mediocampista Lector de Juego
Jon Guridi,2,Mediocampista Box to Box
Pau Cabanes,2,Mediocampista Box to Box
Stoichkov,3,Mediocampista Recuperador
Ander Herrera,4,Mediocampista Pasador
Beñat Prados,0,Mediocampista Goleador
Iñigo Ruiz de Galarreta,1,Mediocampista Lector de Juego
Mikel Jauregizar,1,Mediocampista Lector de Juego
Mikel Vesga,1,Mediocampista Lector de Juego
Oihan Sancet,0,Mediocampista Goleador
Peio Canales,3,Mediocampista Recuperador
Unai Gómez,3,Mediocampista Recuperador
Conor Gallagher,0,Mediocampista Goleador
Giuliano Simeone,2,Mediocampista Box to Box
Koke,4,Mediocampista Pasador
Pablo Barrios,1,Mediocampista Lector de Juego
Rodrigo De Paul,4,Mediocampista Pasador
Rodrigo Riquelme,1,Mediocampista Lector de Juego
Samuel Lino,1,Mediocampista Lector de Juego
Dani Olmo,0,Mediocampista Goleador
Fermin López,0,Mediocampista Goleador
Frenkie de Jong,4,Mediocampista Pasador
Gavi,1,Mediocampista Lector de Juego
Marc Bernal,3,Mediocampista Recuperador
Marc Casado,4,Mediocampista Pasador
Pablo Torre,1,Mediocampista Lector de Juego
Pedri,4,Mediocampista Pasador
Carlos Guirao,3,Mediocampista Recuperador
Giovani Lo Celso,1,Mediocampista Lector de Juego
Iker Losada,2,Mediocampista Box to Box
Isco,4,Mediocampista Pasador
Johnny Cardoso,0,Mediocampista Goleador
Marc Roca,1,Mediocampista Lector de Juego
Mateo Flores,3,Mediocampista Recuperador
Nabil Fekir,2,Mediocampista Box to Box
Pablo Fornals,4,Mediocampista Pasador
Sergi Altimira,1,Mediocampista Lector de Juego
William Carvalho,1,Mediocampista Lector de Juego
Damián Rodríguez,4,Mediocampista Pasador
Fran Beltrán,4,Mediocampista Pasador
Hugo Sotelo,4,Mediocampista Pasador
Hugo Álvarez,1,Mediocampista Lector de Juego
Ilaix Moriba,2,Mediocampista Box to Box
Sergio Carreira,1,Mediocampista Lector de Juego
Óscar Mingueza,4,Mediocampista Pasador
Alex Král,2,Mediocampista Box to Box
Edu Expósito,2,Mediocampista Box to Box
Jofre,3,Mediocampista Recuperador
José Gragera,2,Mediocampista Box to Box
Justin Smith,3,Mediocampista Recuperador
Pere Milla,5,Mediocampista Enganche
Pol Lozano,0,Mediocampista Goleador
Rafael Bauza,2,Mediocampista Box to Box
Urko González,3,Mediocampista Recuperador
Álvaro Aguado,0,Mediocampista Goleador
Álvaro Tejero,0,Mediocampista Goleador
Alex Sola,2,Mediocampista Box to Box
Carles Aleñá,0,Mediocampista Goleador
Carles Pérez,2,Mediocampista Box to Box
Coba da Costa,2,Mediocampista Box to Box
Jesús Santiago,3,Mediocampista Recuperador
Juan Bernat,3,Mediocampista Recuperador
Luis Milla,1,Mediocampista Lector de Juego
Mauro Arambarri,2,Mediocampista Box to Box
Nabil Aberdin,3,Mediocampista Recuperador
Peter González,3,Mediocampista Recuperador
